Hạng mục,Mã,Khoản mục,Loại,Mô tả,Đơn giá (VND),Số lượng,Đơn vị,Thành tiền (VND),Ghi chú
1. Khởi tạo dự án,INIT-01,Build MVP 4 tuần,One-time,"Phát triển toàn bộ scope MVP theo task list (xem tasks.csv):

- Landing page sự kiện 7/5
- Form đăng ký 2 bước + tài khoản creator
- Trang creator /me (sau đăng nhập)
- CRM Care: list + Trang chi tiết creator + chi tiết kênh social
- Tích hợp influence-meter
- QA + Bàn giao + Training

Effort thực tế: 254h × rate role = $3648 ≈ 94.848.000đ (rate 26.000 VND/USD).
Giảm giá ~14.848.000đ (~15.7%) để build relationship dài hạn với AT.",80000000,1,gói,80000000,"GIẢM GIÁ: 14.848.000đ (-15.7%) so với effort thực tế 94.848.000đ trong tasks.csv"
2. Hạ tầng,INFRA-01,Hạ tầng AWS,Do AT cung cấp,"AT cung cấp hạ tầng AWS theo chuẩn các dự án khác đang chạy ở AT. Diso không phụ trách chi phí hosting.",0,1,gói,0,Không tính vào báo giá
3. Influence-meter,IM-INIT,Phí khởi tạo influence-meter,Miễn phí,"Tích hợp + cấu hình influence-meter cho dự án (Diso miễn phí cho dự án này)",0,1,lần,0,Diso tài trợ
3. Influence-meter,IM-MONTHLY,Sử dụng influence-meter (3 tháng),Định kỳ,"Tối đa 500 profile / tháng. Chưa bao gồm VAT. Tính từ tháng đầu tiên go-live.",10000000,3,tháng,30000000,"Vượt 500 profile/tháng tính bậc thang riêng (báo giá thêm)"
4. Vận hành,OPS-M1,Vận hành tháng 1,Miễn phí,"1 PM + 1 Dev + 1 QC, ~8h/người/tháng để xử lý vấn đề phát sinh. Tháng đầu Diso miễn phí khi khởi tạo.",10000000,1,tháng,0,Tháng đầu free khi khởi tạo
4. Vận hành,OPS-M2-3,Vận hành tháng 2-3,Định kỳ,"1 PM + 1 Dev + 1 QC, ~8h/người/tháng để xử lý vấn đề phát sinh.",10000000,2,tháng,20000000,"Sau 3 tháng cam kết tiếp tục 10tr/tháng nếu AT tiếp tục thuê"
,,,,,,,TỔNG CAM KẾT 3 THÁNG,130000000,Chưa bao gồm VAT
,,,,,,,,,
,,,GHI CHÚ,,,,,,
,,,Cam kết tối thiểu,3 tháng kể từ khi go-live,,,,,
,,,Sau 3 tháng,Tiếp tục 20tr/tháng (10tr vận hành + 10tr influence-meter) hoặc thoả thuận lại,,,,,
,,,Vượt quota influence-meter,Báo giá riêng theo bậc thang nếu vượt 500 profile/tháng,,,,,
,,,Tỷ giá quy chiếu,USD/VND = 26.000 (dùng để đối chiếu tasks.csv - báo giá chính bằng VND),,,,,
,,,GIẢM GIÁ KHỞI TẠO,Effort thực tế 254h × rate role = $3648 ≈ 94.848.000đ. Báo giá AT 80.000.000đ → giảm 14.848.000đ (~15.7%).,,,,,
