DEPENDENCY CHAIN — VCreator Global Platform,,,,,,,
"Tổng quan: Biểu đồ dependency + timeline giữa các module. 1 team, 1 project.",,,,,,,
,,,,,,,
TECH STACK & TEAM,,,,,,,
,,,,,,,
Stack,"Go/Echo (BE) + React/UmiJS (FE) + MongoDB + Redis + MinIO",,,,,,
,,,,,,,
Role,Headcount,Type,Capacity/tháng,Total Hours,Cần cho D+85 (4.25 tháng),Đủ?,
BE (Backend),2,Full-time,320h,2820h,4.1 người,✗ Thiếu 2 BE,
FE (Frontend),2,Full-time,320h,2524h,3.7 người,✗ Thiếu 1.7 FE,
QC (Tester),1,Full-time,160h,918h,1.3 người,~ Gần đủ,
PM (Project Manager),1,Full-time,160h,736h,1.1 người,~ Gần đủ,
SA (Solution Architect),0.5,Part-time,80h,494h,1.4 người,✗ Thiếu,
BA (Business Analyst),0.5,Part-time,80h,448h,1.3 người,✗ Thiếu,
DevOps,0.5,Part-time,80h,80h,0.2 người,✓ Đủ,
Design,0.5,Part-time,80h,88h,0.3 người,✓ Đủ,
TOTAL,8 người (4 full + 4 half),,1280h/tháng,8108h,,
,,,,,,,
"D+85 = 85 working days ≈ 4.25 tháng calendar. Team 8 người → cần ~D+175 (8.8 tháng). Giữ D+85 → cần ~14 người (BE×4 + FE×4).",,,,,,,
,,,,,,,

DEPENDENCY CHAIN (đọc từ trên xuống),,,,,,,
,,,,,,,
Layer,Module / Group,Deadline,Depends On,Lý do dependency,Hours,Phase,
,,,,,,,
Foundation,PLATFORM CORE — Multi-Tenancy,D+10~D+15,—,"Không dependency. Foundation đầu tiên phải build: Country Config, Middleware, URL Routing, Dual Tenancy.",254,1,
Foundation,PLATFORM CORE — User Identity,D+15~D+20,Multi-Tenancy,"Cần country_code middleware + Country Config để tạo country_profiles. Shared User Model, Profile CRUD, Context Switching.",172,1,
Foundation,PLATFORM CORE — i18n,D+20~D+25,Multi-Tenancy,"Cần Country Config (languages per country). Backend locale files, Frontend translation framework, Multilingual CMS.",208,1,
Foundation,PLATFORM CORE — Currency & Tax,D+20~D+25,Multi-Tenancy + User Identity,"Cần Country Config (currency per country) + User Identity (display currency pref). Exchange Rate, Tax Engine, Display Service.",220,1,
Foundation,PLATFORM CORE — Infrastructure,D+15~D+25,Multi-Tenancy,"Feature Flags + Secrets cần Country Config. Có thể song song với User Identity + i18n.",116,1,
Foundation Phase 2,PLATFORM CORE — Enhancement,D+35,Phase 1 stable,"Monitoring per Country + Reconciliation Rate. Cần core stable trước.",94,2,
,,,,,,,
,,,,,,,
Core Features,ADMIN — Auth & RBAC & Team,D+20~D+25,Multi-Tenancy + User Identity,"Admin Auth + RBAC + Team Mgmt + Data Isolation. Cần Multi-Tenancy middleware cho country-scoped access.",394,1,
