Phase,Task ID,Task,File / Module,Description,Effort,Priority,Status,Blockers,DevOps,SA,BE,FE Creator,FE Admin,QC,Design,BA,PM,Total (hours),Cost (USD),Notes
1. Setup,SETUP,Khởi tạo dự án + hạ tầng,All,"Tạo repo + adapt từ vcreator demo.

Setup hạ tầng tối thiểu:
- 1 EC2 small
- MongoDB Atlas free tier
- Redis nhỏ
- Domain + SSL
- AWS SES email

CI/CD tối giản auto deploy main branch (không có staging).

QA:
- Verify deploy pipeline
- Smoke test môi trường",M,P0,Ready,,12,0,2,0,0,3,0,0,0,17,$278,Tuần 1
2. Event - Landing,LAND,Landing page sự kiện 7/5,event-fe/src/app,"Landing 1 trang scroll adapt từ codebase demo.

Section bao gồm:
- Hero
- Value prop
- Agenda
- Danh sách campaign/event (HARDCODE)
- CTA đăng ký

Đổi branding + copy AT.

Responsive mobile/tablet/desktop.

QA:
- Browser test Chrome/Safari/iOS/Android
- Responsive breakpoint
- Visual regression

LƯU Ý: Danh sách event/campaign hardcode trong code (config JSON tĩnh), KHÔNG dynamic từ API ambassador.koc.com.vn. Khi cần update phải redeploy.",M,P0,Ready,§D1 logo + copy AT,0,0,0,14,0,5,8,0,0,27,$353,Tuần 1 - reuse demo component
3. Event - Form đăng ký,FORM,Form đăng ký 2 bước + email kích hoạt + login,event-fe + backend,"Form 2 bước (gộp từ 3 bước demo):
- Step 1: thông tin cá nhân (tên/phone/email/mật khẩu)
- Step 2: social handles + consent

Validation client-side (mật khẩu mạnh, email format).

Submit endpoint backend:
- Dedupe handle + email
- Hash password (bcrypt)
- Lưu DB (trạng thái pending)
- SES gửi email kích hoạt (link với activation token)

Endpoint kích hoạt:
- Verify token
- Activate account
- Auto đăng nhập + redirect /me

Trang login (cho lần đăng nhập sau):
- Form email + mật khẩu
- Forgot password (defer hoặc làm cơ bản)

Page thank-you basic.

QA:
- E2E flow đăng ký + kích hoạt + login lại
- Test dedupe handle/email trùng
- Test token kích hoạt expire
- Verify email gửi đúng",L,P0,Ready,,0,0,18,18,0,7,2,0,0,45,$632,Tuần 1-2 - go-live trước 5/5
4. Event - Trang creator,CREATOR-ME,Trang creator /me (sau đăng nhập),event-fe + backend,"Backend:
- Endpoint GET /me trả thông tin creator (cần auth)
- Endpoint PATCH /me/channels để creator thêm/sửa kênh

Frontend trang /me:
- Yêu cầu đăng nhập (redirect /login nếu chưa)
- Hiển thị tên + avatar tổng hợp
- Danh sách kênh social đã đăng ký (icon + handle + link external + số follower)
- Trạng thái đăng ký + ngày tham gia event
- Hướng dẫn bước tiếp theo (chờ Care liên hệ qua Zalo trong 48h)
- Nút thêm/sửa kênh social
- Nút logout

KHÔNG hiển thị: engagement rate chi tiết, recent content, audience demographics, performance score.

QA:
- Test login flow đầy đủ
- Test session expire/refresh
- Test thêm/sửa kênh
- Test responsive
- Verify KHÔNG leak data internal Care",M,P0,Ready,,0,0,8,14,0,5,3,0,0,30,$394,Tuần 2 - go-live trước 5/5
5. CRM - Auth admin,AUTH,Admin login + protected routes,backend + admin,"Backend:
- 1 role admin với JWT
- Hardcode 2-3 admin trong env

Admin UI:
- Login form
- Token storage
- Middleware route guard cho admin pages

QA:
- Test login đúng/sai password
- Test token expire
- Test access control",S,P0,Ready,,0,0,5,0,3,3,0,0,0,11,$153,Tuần 3
6. CRM - Creator List + Detail,CRM,CRM Creator List + Detail + chi tiết kênh,admin + backend,"Backend:
- Creator data model + CRUD API
- Endpoint pull chi tiết kênh từ influence-meter

Admin UI - Creator List page:
- Table + filter source/date + search + pagination + sort

Admin UI - Trang chi tiết creator (read-only) - 3 tabs:
- Tab Profile (thông tin cá nhân)
- Tab Channels (chi tiết kênh từ influence-meter — xem data-commitment.md)
- Tab Registration history (lịch sử đăng ký + email status)

QA:
- Test list với data lớn (1000+ records)
- Test filter + search combo
- Test detail render đầy đủ 4 platform (TikTok/IG/FB/YT)
- Test pagination edge cases
- Test khi 1 kênh thiếu data từ IM",L,P0,Ready,§D2 + §D3 mockup adapt,0,1,28,0,40,12,3,0,0,84,$1191,Tuần 3-4 - core deliverable cho Care
7. CRM - Influence-meter,IM,Tích hợp influence-meter API,backend,"Backend:
- HTTP client gọi influence-meter API (4 platform: TikTok/IG/FB/YT)
- Cache Redis 1 ngày
- Endpoint pull profile + engagement + recent content
- Graceful fallback khi IM API fail (UI hiển thị '—' thay vì error)
- Rate-limit theo quota tenant

QA:
- Test pull data 4 platform
- Test cache hit/miss
- Test khi IM API fail (graceful)
- Test rate limit
- Audit trường nào REAL vs MISSING per platform (cập nhật data-commitment.md)",M,P0,Ready,§E1 IM API doc,0,1,12,0,0,4,0,0,0,17,$240,Tuần 4 - tận dụng IM của Diso
8. Bàn giao,HANDOVER,Bàn giao dự án,Doc + meeting,"Tài liệu hướng dẫn sử dụng (link online):
- User guide cho Care (CRM admin)
- User guide cho creator (form đăng ký + trang /me)
- Doc API (nếu AT cần integrate)

Demo session:
- 1 buổi demo online cho AT (có video record)
- Walkthrough toàn bộ flow
- Q&A

Production deploy + go-live monitoring 1 tuần (hotfix critical).",M,P0,Ready,,4,0,2,0,0,0,0,2,3,11,$167,Tuần 4
9. PM + BA,PM,PM coordination + discovery,All,"Discovery:
- BA + PM workshop với AT
- Lock scope + sign-off

Sprint coordination (4 weekly sprint):
- Planning
- Standup
- Demo cuối tuần

Stakeholder:
- Status report
- Change request management",M,P0,Ready,,0,0,0,0,0,0,0,5,7,12,$195,Xuyên suốt 4 tuần
,,,TOTAL,,,,,,16,2,75,46,43,39,16,7,10,254,$3648,9 task groups - 254h ~32 person-days @ 8h - ~94.85tr VND (rate 26k)
