field,description,PIC,required,example,value,Timline,Nội dung bài viết set up,Bài mẫu,Note
APP_NAME,Tên thương hiệu hiển thị trên app,Parasola,required,Parasola Creators Hub,Parasola Sun Match,,,,
PARTNER_ID,Partner slug (lowercase không dấu),Parasola,required,parasola,parasola,,,,
DOMAIN,"Domain/subdomain frontend production

Trỏ thông tin về: 54.169.3.115
*Note: nếu domain trên cloudflare cần lên cloudflare để trỏ ",Parasola,required,phocungdinh.afotech.vn,"id.matbao.net
-ID: MB11821572
-Pass: Naris@1932

https://parasola-creator.com/",,,,
PRIMARY_COLOR,Màu chính thương hiệu (HEX),Parasola,required,"C0M100Y100K0 (đỏ) (ed1c24)
C0M0Y100K0 (vàng) (fff200)",#FFC0D4 #FFC0D4,,,,
SECONDARY_COLOR,Màu phụ (để trống nếu dùng mặc định #d0d5dd),Parasola,optional,,,,,,
LOGO_FILE,"Tên file logo (đặt trong src/assets/images/new/)
* Gửi file design",Parasola,required,,https://drive.google.com/file/d/1taJ0S6mFPHf6RZ381BAtC8CagABZTi0R/view?usp=drive_link,,,,
FAVICON_FILE,Tên file favicon,Parasola,required,,https://drive.google.com/file/d/1taJ0S6mFPHf6RZ381BAtC8CagABZTi0R/view?usp=drive_link,,,,
OG_TITLE,Tiêu đề trang / OpenGraph title,Parasola,required,Parasola by Naris Creators Hub,Parasola Sun Match | MATCH CHUẨN NẮNG – THƯỞNG NÓNG TRAO TAY,,,,
OG_DESCRIPTION,Mô tả trang / OpenGraph description,Parasola,required,"Sáng tạo video nhận thưởng mỗi ngày cùng Parasola
1 CHẠM 12H BẢO VỆ","Tham gia Parasola Sun Match: chọn Team Nâng Tông hoặc Team Tỏa Hương, sáng tạo nội dung cùng Parasola và săn thưởng nóng trao tay.",,,,
FONT,FONT chữ đang sử dụng ,Parasola,required,Montserrat,ROBOTO - Font phụ: SVN-Roseinda Alyamore,,,,
BANNER,"- KV cho từng chiến dịch 3 size: 
Banner trang home:
+ 20:8 (4320 x 1728 px) 
+ 4:3 (1280 x 960 px)
Banner dành cho các MiniCamp (Cả Đt và MT)
+ 9:16 
- KV đi truyền thông trên app AT size : 
+ 1200x1200 px
+ 1200x400 px
+ 3000x1000 px
- KV đi truyền thông trên web Pub2 : 
+ 8000x1000 px 
+ 3000x2500 px
+ 2000x600 px(10:3)
- Pop up truyền thông: 3000x2500px
- KV chi tiết chiến dịch : 600x1000 px, 2400x300px

*Note: Gửi file thiết kế",Parasola,required,,,,,,
BRAND_GUIDE,File thiết kế liên quan tới thương hiệu ,Parasola,required,,,,,,
SEO_KEYWORDS,Từ khóa SEO,Parasola,optional,,,,,,
OG_IMAGE,Ảnh social preview (1200x630),Parasola,optional,,,,,,
GTM_ID,Google Tag Manager ID (để trống nếu dùng chung),AT,optional,,"
GTM-NLRX5THC",,,,
SUPPORT_ARTICLE_ID,ID bài hỗ trợ trên CMS( chú ý để cả môi trường dev và product),AT,optional,,"Dev: 6a201227c593297560ee1009
Product: 6a20f44c94a2d1dc271a6d5f",,,https://creator.hdbank.com.vn/bai-viet/689eaa63a75825ab6a54800a,
QA_ARTICLE_ID,ID bài Q&A trên CMS( chú ý để cả môi trường dev và product),AT,optional,,"Dev: 6a200ce8c593297560ee1005
Product: 6a20f60294a2d1dc271a6d61",,,https://creator.hdbank.com.vn/bai-viet/682549b7dc42a03562653188,
TERM_ID,ID bài điều khoản( chú ý để cả môi trường dev và product),AT,optional,,"Dev: 6a200f5ec593297560ee1007
Product: 6a4647593c3dcc83f7c86829",,,https://creator.hdbank.com.vn/bai-viet/68254accdc42a0356265318c,
CONDITION_ID,ID bài điều kiện( chú ý để cả môi trường dev và product),AT,optional,,"Dev: 6a2006c3c593297560ee0fff
Product: 6a20e5f894a2d1dc271a6cc3",,,https://creator.hdbank.com.vn/bai-viet/68254a8ddc42a0356265318a,
PARTNER_ID,ID đối tác được setup trên hệ thống ambassdor( chú ý để cả môi trường dev và product),AT,optional,,"Dev: 6a1957283b2d71106b7afec2
Product: 6a1cf67194a2d1dc271a629e",,,,
