GIẢM EFFORT KHI TẬN DỤNG SOURCE CODE CŨ — VCreator Global Platform
Phân tích chi tiết % effort giảm cho từng feature khi refactor từ source code cũ (cùng tech stack Go/Echo + React/UmiJS + MongoDB) thay vì build mới hoàn toàn.


TỔNG HỢP GIẢM EFFORT THEO MODULE

Module,,BE gốc (h),BE giảm (h),BE còn lại (h),% giảm BE,FE gốc (h),FE giảm (h),FE còn lại (h),% giảm FE,QC gốc (h),QC giảm (h),SA gốc (h),SA giảm (h),BA gốc (h),BA giảm (h)
Platform Core,,456,166,290,36%,136,46,90,34%,132,45,84,30,56,20
Creator,,864,391,473,45%,804,355,449,44%,312,140,124,50,134,55
Admin,,1440,552,888,38%,1288,478,810,37%,504,187,240,86,214,79

TOTAL,,2760,1109,1651,40%,2228,879,1349,39%,948,372,448,166,404,154

Các role khác (ước tính)
Role,Gốc (h),Giảm (h),Còn lại (h),% giảm
DevOps,80,24,56,30%
Design,88,35,53,40%
PM,736,221,515,30%

TỔNG GIẢM TẤT CẢ ROLES: 2960h (~37% tổng project)


CHI TIẾT — PLATFORM CORE

STT,Feature,Lý do có thể tận dụng source code cũ,Reuse %,BE gốc (h),FE gốc (h),BE giảm (h),FE giảm (h),QC gốc (h),QC giảm (h),SA gốc (h),SA giảm (h),BA gốc (h),BA giảm (h)
1,Country Config Service,Partner config có sẵn. Extend thêm country dimension.,30%,40,0,12,0,8,2,8,2,4,1
2,Country Context Middleware,Partner middleware có sẵn. Refactor thêm country_code.,35%,40,0,14,0,12,4,8,3,4,1
3,URL Country Routing,Router framework có sẵn. URL pattern mới.,15%,16,16,2,2,8,1,4,1,2,0
4,Dual-Dimension Tenancy,Partner tenancy có sẵn. Thêm country dimension.,40%,32,0,13,0,8,3,8,3,4,2
5,Shared User Identity Model,User model có sẵn. Tách shared vs country profile.,40%,48,0,19,0,12,5,8,3,4,2
6,Country Profile CRUD,User CRUD có sẵn. Thêm country profile.,50%,24,0,12,0,8,4,4,2,2,1
7,Country Context Switching,Session management có sẵn.,30%,16,16,5,5,8,2,4,1,2,1
8,Backend i18n — Locale Files,17 locale dirs có sẵn. Mở rộng + hoàn thiện.,50%,40,0,20,0,8,4,4,2,4,2
9,Frontend i18n — Translation,react-intl concept có. Mở rộng multilingual.,40%,8,40,3,16,8,3,4,2,4,2
10,Multilingual Content CMS,Article/News CMS có sẵn. Thêm multi-language tab.,50%,24,24,12,12,8,4,4,2,4,2
11,Realtime Exchange Rate,Mới — chưa có multi-currency.,10%,32,0,3,0,8,1,4,0,4,0
12,Reconciliation Rate,Reconciliation có sẵn. Thêm exchange rate lock.,40%,24,8,10,3,8,3,4,2,4,2
