Group,Code,Category,Question,Vietnam Current State,Suggested Options,Answer,Status,PIC,Notes
A. Language,A1,Ngôn ngữ,Hỗ trợ EN-only hay EN + Filipino?,100% Tiếng Việt (vi-VN),EN-only | EN + Filipino,EN + Filipino (Tagalog),Done,Partner,File Onboarding §46. Cần native translator. Tăng ~1 tuần effort i18n
A. Language,A2,Ngôn ngữ,Default language khi user vào lần đầu?,vi-VN default,EN | Filipino | Auto-detect,,Pending,Partner,Khuyến nghị EN default
A. Language,A3,Ngôn ngữ,Có cần language toggle trên UI không?,Không có toggle,Có | Không,Có,Done,DISO,Bắt buộc do support 2 ngôn ngữ
B. Branding,B1,Thương hiệu,Tên brand chính thức trên UI?,Gen-Green / VinFast Creator (legacy),,Green SM Philippines / GreenSM PH,Done,Partner,File §43 hashtag #GreenSM. KHÔNG phải Gen-Green generic — đây là GreenSM (VinFast taxi/transport service)
B. Branding,B2,Thương hiệu,Logo & color palette: dùng VN hay version PH?,Logo VN (Gen-G.png Green-Creator.png),VN | PH mới,Asset PH mới (KV khách + Brand Guidelines PDF),Done,Partner,File §11 + §23. KV: drive.google.com/file/d/1FC7zrDDtfgUYV6qA1RGQ_rzFsgJRzbY7
B. Branding,B3,Thương hiệu,Email sender domain?,noreply@vcreator.global,,noreply@gen-green.ph hoặc support.ph@greensm.com,Pending,Partner,Support email partner: support.ph@greensm.com (file §35)
B. Branding,B4,Thương hiệu,Domain frontend production?,vcreator.global,,https://gen-green.ph/gengreen,Done,Partner,File §7. Trỏ về IP 54.169.3.115
B. Branding,B5,Thương hiệu,Partner ID slug?,N/A,,gengreen,Done,Partner,File §3
B. Branding,B6,Thương hiệu,Font?,Mặc định,,Theo Brand Guideline + trang Indo Gen Green,Done,Partner,File §15
B. Branding,B7,Thương hiệu,GTM ID?,N/A,,GTM-WTMZXPHC,Done,Partner,File §27
B. Branding,B8,Thương hiệu,Hashtag campaign?,N/A,,#GreenSM,Done,Partner,File §43
B. Branding,B9,Thương hiệu,Link redirect CTA Về Đối tác?,N/A,,https://www.greengsm.ph/,Done,Partner,File §40
B. Branding,B10,Thương hiệu,Facebook page?,N/A,,https://www.facebook.com/greengsm.ph,Done,Partner,File §41
B. Branding,B11,Thương hiệu,Materials/Kho tư liệu?,N/A,,https://drive.google.com/drive/folders/1LBPynskkwPBqoZ_1tAWAO_DlJyud-KB5,Done,Partner,File §42
B. Branding,B12,Thương hiệu,File design Figma?,N/A,,https://www.figma.com/design/9j52U0cygugj0b4ajkLn5j/-P--GreenSM-PHIL---Creators,Done,Partner,File §49 - PIC: Hieu Ta Trung
B. Branding,B13,Thương hiệu,Banner home + Ảnh chiến dịch?,N/A,Banner 3:4 mobile / 20:8 desktop / 9:16 campaign,,Pending,Partner,File §16-22 - cần file thiết kế
C. Legal,C1,Pháp lý,AT có entity Philippines chưa?,Interspace Vietnam ký Bên A,Có entity PH | Ký xuyên biên giới qua AT VN,,Pending,Partner,Ảnh hưởng tax + jurisdiction
