Phase,Task ID,Task,File / Module,Description,Source Evidence,Effort,Priority,Status,Blockers,PIC,Notes,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),AT Cost ($),DISO Cost ($)
1. Setup,SETUP-D01,Setup môi trường develop local,docker-compose.yml + Makefile + README,"Docker compose cho dev local: MongoDB + Redis + MinIO + Backend + Frontend + Admin. Makefile commands. README dev setup.",—,M,P0,Deferred,DevOps team,DISO,"Defer post-launch — dev hiện tại chạy direct (Go run + yarn start), không block",4,0,4,2,0,0,0,1,11,,178
1. Setup,SETUP-D02,Setup CI/CD pipeline (GitHub Actions),.github/workflows/,"CI: build BE + FE + admin, lint, unit test. CD staging (auto on develop merge). CD prod (manual workflow_dispatch).",—,M,P0,Deferred,Staging + prod servers chưa có,DISO,"Defer — đợi DevOps provision infra",11,0,4,1,3,0,0,1,20,,315
1. Setup,SETUP-D03,Setup .env.example + linter + pre-commit hooks,.env.example + .pre-commit-config.yaml + .golangci.yml + .eslintrc,"All env vars + comments. Pre-commit: golangci-lint + eslint + prettier + gitleaks.",—,S,P0,Deferred,DevOps team,DISO,"Defer post-launch",2,0,3,2,0,0,0,0,7,,109
2. Foundation,FOUND-01,Add Region config + utility functions + ENV setup PH,internal/config/env.go + format/phone.go + util/ptime/region.go + format/search.go + .env,"Region struct (COUNTRY_CODE/PHONE_CODE/PHONE_REGEX/TIMEZONE/CURRENCY/TAX_PERCENT/LANGUAGE). Phone util config-driven. Timezone Region functions. NormalizeSearchString. .env PH values.",audit-09,M,P0,DONE,,DISO,"Block REPL-01..05. Smoke test pass: Asia/Manila +63 PHP",1,2,18,1,4,0,1,3,30,,451
3. Cleanup ẩn modules,PAYOUT-01,Ẩn payment / bank / withdraw / tax / KYC / FB-IG / OTP,Frontend creator + Admin + Backend routers,"Hide payment/bank/tax routes FE creator. Hide identification review admin. Comment-out BE routes (bank-cards, identification, FB/IG login, OTP). Skip UpdateCashFlowTax + UpdateInfoContract crons.",§48 + audit,M,P0,DONE,,DISO,"Bug fix bonus: paymentThresholdInfo Rp→₱ leak",0,1,9,12,4,0,1,1,28,,407
3. Cleanup ẩn modules,PAYOUT-02,Verify Commission Export flow cho offline payout,admin/service/export_transfer_user_cash.go,"Verify code path: Admin Transfer + ExportTransferUserCash + Excel locale keys.",§48 + audit,S,P0,Partial,Staging server cho E2E test,DISO,"Code path verified. E2E test cần staging.",0,0,2,0,2,0,0,0,4,,52
3. Cleanup ẩn modules,LEGAL-01,Ẩn/xóa contract sign flow toàn hệ thống,backend routes + FE creator + admin + constants/contract.go + UploadContract,"Comment-out 4 contract routes BE. Skip UploadContract (Drive + MinIO). Empty contract.go template (219→9 dòng). Hide contract sign FE.",audit-09 §5,M,P0,DONE,,DISO,"Contract 100% bỏ. TOS+Privacy+DPA giữ qua LEGAL-03.",0,1,6,5,2,0,1,1,16,,235
4. Replace hardcode (Backend),REPL-01,Replace +84 hardcode toàn codebase,internal/format/string.go + model/mg/user.go + service/otp.go + public/services + admin/service/user.go,"Replace ""+84"" 12 chỗ → cfg.Region.PhoneCode (format/string.go, user.go, otp.go, schedule.go, identification.go, admin/user.go).",audit-09,S,P0,DONE,,DISO,"Search-replace pass test",0,0,3,0,2,0,0,0,5,,67
4. Replace hardcode (Backend),REPL-02,Replace HCM timezone toàn codebase,internal/util/time.go + util/ptime/parse.go + handlers + services,"Replace 91 occurrences TimeOfDayInHCM/Asia/Ho_Chi_Minh → Region timezone functions across BE + admin + handlers.",audit-09 §2,L,P0,DONE,,DISO,"Task lớn nhất nhóm REPL — 91 chỗ done",0,2,24,0,8,0,0,2,36,,522
4. Replace hardcode (Backend),REPL-03,Replace Vietnamese accent functions toàn codebase,internal/format/string.go + admin services + admin models,"Replace NonAccentVietnamese 38 chỗ → NormalizeSearchString (admin services + request models + dummy_db).",audit-08,S,P0,DONE,,DISO,"Search-replace verify search/sort",0,0,4,0,2,0,0,0,6,,82
4. Replace hardcode (Backend),REPL-04,Replace constants + slug VN-specific,internal/constants/constants.go + internal/format/string.go,"Move RegexPhoneNumber → ENV. Remove timezoneHCM, PercentTaxIndonesia, PercentTaxVietNam, ConvertSlugProvince.",audit-09,S,P0,DONE,,DISO,"Foundation cleanup",0,0,3,0,1,0,0,0,4,,56
4. Replace hardcode (Backend),REPL-05,Replace VN error messages + Indonesia/VN-specific code,public/service/identification.go + schedule.go + admin/service/common.go,"VN error messages → locale keys (3 chỗ). Remove `if typeBank != indo` hardcode. Refactor BeneficiaryForVietinbank → generic. Tax cron firstMonth ENV.",audit-user,M,P0,DONE,,DISO,"Misc cleanup",0,1,6,0,3,0,1,0,11,,151
4. Replace hardcode (Frontend),FE-01,Replace toàn bộ FE hardcode,frontend/src/configs + admin/src/utils + frontend pages,"Phone format +84→+63. Currency VND→PHP. Default locale id-ID→auto. Tiếng Việt hardcode (~7 chỗ). Cleanup admin format.ts.",audit-10,M,P0,DONE,,DISO,"Search-replace verify",0,0,1,8,3,0,0,0,12,,168
5. Bug Fixes (Backend),BUG-01,Fix Staff/Admin security bugs (P0 critical),pkg/admin/service/staff.go,"GetMe permission check. UpdateInfo isRoot escalation block. $nin syntax fix. reCAPTCHA score validation.",audit-07 §3,M,P0,DONE,,DISO,"SECURITY P0 — critical. Done.",0,0,5,0,4,0,0,0,9,,119
5. Bug Fixes (Backend),BUG-02,Fix Staff hardening,admin/service/staff.go + transfer_processing.go,"TOTP rate limit. Email lowercase normalize. Transfer math.Max filter inverted fix.",audit-07,S,P1,DONE,,DISO,,0,0,6,0,3,0,0,0,9,,123
5. Bug Fixes (Backend),BUG-03,Fix Event + Content + Schedule logic bugs,pkg/public/service/event.go + transcript.go + referral.go + news.go + user.go + schedule.go,"Event sort fixes. Transcript loop continue. Referral cash populate. News typo. isExistedEmail full check. Reconciliation rollback. UpdateSearchStringContent pagination.",audit-03,M,P1,DONE,,DISO,,0,0,17,0,8,0,0,0,25,,343
5. Bug Fixes (Backend),BUG-04,Cleanup tech debt,public/service/user.go + withdraw.go + event_reward.go,"GenerateCode recursion guard. PDF cleanup post-UploadContract. Withdraw dead code. event_reward stub. Branch card decide. Tax rate=0 verify.",audit-user,S,P2,DONE,,DISO,"Defer post-launch OK",0,0,5,0,2,0,0,0,7,,97
6. i18n,I18N-01,Filipino translation toàn hệ thống,locales/server/fil.json + frontend/src/locales/tl-PH.json + admin/src/locales/fil-PH.json,"AI-translated Filipino: BE 346 keys + admin FE 407 keys + creator FE 224 keys. 977 total. 0 missing 0 untranslated.",§A1,L,P0,DONE,,DISO,"AI draft = final. Partner review trên UI sau deploy staging.",0,0,2,8,4,0,8,2,24,,322
6. i18n,I18N-02,Build language toggle UI + format date/number,frontend/src/components/header + utils,"Custom SelectLang dropdown (creator + admin). Filter id-ID khỏi PH. Number format en-PH PHP. Note dual localeExports gotcha.",§A1,S,P0,DONE,,DISO,"Lessons #1-5 (Umi regex tl-PH, antd missing, dual localeExports)",0,0,2,6,2,1,0,0,11,11,142
7. Branding,BRAND-01,Visual rebrand Figma alignment,frontend assets + theme config,"Verify giao diện match Figma. Logo/favicon/banner/color/font đã sẵn trong source.",§B,XL,P0,DONE,,DISO,"Sau check thực tế: source đã match Figma, không cần rework",0,0,0,40,16,12,0,4,72,132,856
7. Branding,BRAND-02,Update static texts + links + meta tags,frontend static + admin + meta tags,"GTM-NNL6PN4R→GTM-WTMZXPHC. OG meta PH-specific. VCreator→Green SM Creator PH (admin manifest/document/footer/partner modal). VinFast/Vingroup leak (locale copyright + xanhSMDescription) → GSM PH. Service worker prod detect support PH domain.",§B,M,P0,DONE,,DISO,"Defer cho DevOps: prod URLs + Firebase project. KEEP CSS class names YAGNI.",0,0,4,8,4,0,0,0,16,,224
8. Content & Legal,LEGAL-03,Rewrite TOS + Privacy Policy + FAQ,CMS articles seed,"AI-generated draft seeded (TOS termId + Privacy conditionId + FAQ qaArticleId 18 questions translated từ gen-green.id Q&A — Rupiah→Peso, BIR/TRAIN tax, Viber/Messenger).",§C,M,P0,Partial,Partner legal review trên UI,DISO,"Deploy staging → partner review",0,0,2,2,2,0,4,1,11,,146
8. Content & Legal,DATA-01,Init data baseline + seed events,admin partner/event/article seeds,"5 articles (TOS/Privacy/FAQ/Welcome/About) + 2 events (customer-experience + driver-partner) seeded với covers từ Indonesia CDN làm dev placeholder.",gaps-review §2,S,P0,Partial,Partner marketing review trên UI,DISO,"Deploy staging → partner review",0,0,6,0,2,0,2,0,10,,134
8. Content & Legal,CONTACT-01,Contact page company info,frontend/src/pages/contact/index.tsx,"Apply partner-provided data: legal name Green and Smart Mobility Philippines Inc. + address (6th Floor Two E-Com Center) + phone 02-7777-8080 + email support.ph@greensm.com + social FB/LinkedIn/IG. Add LinkedIn icon SVG.",—,S,P0,DONE,,DISO,"Partner cung cấp đủ. Đợi confirm legal entity name suffix",0,0,0,3,1,0,0,0,4,,56
9. QA & Launch,QA-01,Setup test environments + smoke test,Infra + DB + test plan,"Staging + UAT environments. Test data seed. E2E smoke: register +63, login phone/Google/TikTok, submit content, reconcile, currency PHP, timezone Manila, admin 2FA + Captcha.",—,M,P0,Blocked,SETUP-D01..D03 + staging server,DISO,,4,0,4,1,18,0,0,3,30,,401
9. QA & Launch,QA-02,Test core business flows,All,"Admin Reconciliation + Transfer full lifecycle. Tax flow rate=0. i18n EN + Filipino toggle. Browser/responsive (Chrome/Safari/iOS/Android).",—,M,P0,Blocked,QA-01,DISO,,0,0,0,0,28,0,0,2,30,,348
