,BÁO GIÁ — CHƯƠNG TRÌNH THƯỞNG TĂNG TRƯỞNG CREATOR,,,,,,,,,,,,
,vCreator Philippines,,,,,,,,,,,,
,Nhóm theo CHỨC NĂNG. Mỗi chức năng là một cụm trọn gói: xử lý nghiệp vụ + màn hình quản trị + màn hình creator + kiểm thử + triển khai + tài liệu + nghiệm thu.,,,,,,,,,,,,
,"Muốn giảm phạm vi thì bỏ nguyên một cụm chức năng (B đến G). Cụm A là nền tảng dùng chung, không bỏ được.",,,,,,,,,,,,
,Xem overview.md (bối cảnh nghiệp vụ) và solution-design.md (thiết kế kỹ thuật).,,,,,,,,,,,,

Cụm,Chức năng / Mục tiêu,Hạng mục,Nội dung bàn giao,,BE (h),FE (h),QA (h),PM (h),BA (h),DevOps (h),Design (h),Tổng giờ,Thành tiền (USD)
A,"NỀN TẢNG DÙNG CHUNG
Mọi cơ chế thưởng bên dưới đều chạy trên nền tảng này.
Gồm: bảng dữ liệu thống kê thành tích creator, quản lý chương trình thưởng, bộ tính thưởng,
kết nối vào quy trình đối soát và chi tiền, cùng các màn hình quản trị và màn hình creator dùng chung.",Bảng dữ liệu thống kê thành tích creator,"- Tạo bảng dữ liệu: tổng video đã duyệt, tổng lượt xem/like/bình luận, chia theo kênh, theo tháng
- Cập nhật theo trạng thái nội dung: video được duyệt / bị hủy → cập nhật số liệu
- Cập nhật theo job định kỳ: đồng bộ lại số liệu sau mỗi lần thu thập, đảm bảo số liệu luôn khớp
- Cộng cả số liệu admin điều chỉnh thủ công (hệ thống đã có sẵn cơ chế này)
- Nạp dữ liệu lịch sử cho toàn bộ creator hiện có
- Một nguồn số liệu duy nhất cho toàn hệ thống: cùng một con số ở app creator, trang quản trị, và khi tính thưởng",,32,0,16,6,6,4,0,64,964
,,Quản lý chương trình thưởng + nhắm nhóm creator,"- Tạo và quản lý chương trình thưởng cấp nền tảng (không thuộc nhãn hàng nào)
- Nhắm nhóm creator theo thời điểm đăng ký (khoảng X–Y) → nhóm creator mới onboard
- Creator không cần đăng ký tham gia — hệ thống tự động xác định ai thuộc nhóm
- Đặt giới hạn số suất và thời gian cho từng gói thưởng",,24,0,10,5,8,2,0,49,734
,,Bộ tính thưởng,"- Tính thưởng dựa trên thành tích của creator trên TOÀN HỆ THỐNG (mọi chiến dịch), không giới hạn trong
  một chiến dịch. Đọc số liệu từ bảng thống kê
- Ba dạng điều kiện dùng chung cho các cơ chế: đạt ngưỡng tích lũy, đạt ngưỡng trong tháng, tính theo đơn giá
- Số video, số mốc, mức tiền đều cấu hình được — đổi từ 3 sang 5 video không cần lập trình
- Đảm bảo mỗi creator chỉ nhận một lần cho mỗi mốc, mỗi chu kỳ",,32,0,16,6,6,2,0,62,930
,,Kết nối vào quy trình đối soát và chi tiền,"- Khoản thưởng đi vào đúng quy trình đối soát → ví creator → rút tiền đang vận hành
- Quy trình đối soát, ví và rút tiền đã có đủ — chỉ kết nối vào, không xây lại
- Kiểm thử toàn trình: tạo thưởng → đối soát → vào ví → rút được tiền thật",,16,0,10,4,4,2,0,36,538
,,Quản trị: cấu hình chương trình + theo dõi chi,"- Danh sách chương trình, tạo/sửa/kích hoạt/tạm dừng
- Cấu hình gói thưởng: chọn nhóm creator, đặt mốc, mức tiền, chu kỳ, giới hạn số suất và thời gian
- Bảng theo dõi: đã chi bao nhiêu, còn bao nhiêu suất, bao nhiêu creator đã nhận, chi theo thời gian
- Số liệu để admin tự theo dõi và quyết định dừng gói thưởng khi cần",,8,12,8,4,5,2,0,39,578
,,Quản trị: truy vấn dữ liệu thưởng + tra cứu creator,"- Danh sách thưởng đã phát: lọc theo chương trình / gói thưởng / creator / trạng thái / thời gian
- Xem chi tiết vì sao creator nhận khoản này (đạt mốc nào, số liệu bao nhiêu)
- Xuất file để đối soát
- Tra cứu creator: thống kê thành tích, đang ở đâu trong từng chương trình, đã nhận những khoản nào",,12,16,10,4,6,2,0,50,738
