STT,Bước,Hạng mục,Mô tả chi tiết,Ai làm,Số giờ,Đơn giá ($/h),Thành tiền ($),Ghi chú

,BƯỚC 1: MỞ CỬA BỔ SUNG — Cho creator submit video vào campaign đã kết thúc,,,,,,,,

1,1,Cập nhật hệ thống,"Thêm tính năng ""thời gian bổ sung"" vào campaign. Hệ thống nhận biết campaign đang mở bổ sung và cho phép creator submit video.",Backend,3,$15,$45,Sửa logic kiểm tra thời gian campaign
2,1,Cập nhật bộ crawl,"Hệ thống crawl lượt xem (view) tự động nhận biết video mới trong đợt bổ sung và crawl bình thường.",Backend,2,$15,$30,Đảm bảo crawler hoạt động cho video mới
3,1,Kiểm tra chức năng submit,"Test creator submit video thành công trên nhiều nền tảng (TikTok, YouTube, Facebook). Kiểm tra validation, lỗi edge case.",QC,4,$11,$44,Test trên staging trước khi lên production
4,1,Kiểm tra bộ crawl,"Test hệ thống crawl lượt xem hoạt động đúng cho video mới. Verify số liệu view/like/comment được ghi nhận.",QC,2,$11,$22,Cần chờ crawler chạy để verify
5,1,Đưa lên production,"Deploy code mới lên staging kiểm tra, sau đó đưa lên production.",DevOps,2,$17,$34,Bao gồm staging + production
6,1,Điều phối triển khai,"Lên kế hoạch triển khai, thông báo các bên liên quan, phối hợp với khách hàng mở cửa bổ sung.",PM,2,$17,$34,

,Bước 1 — TỔNG,,,,,15,,$209,

,,,,,,,,,,

,BƯỚC 2: CHUYỂN SỐ LIỆU VỀ 2025 — Chạy sau khi creator submit xong,,,,,,,,

7,2,Backup dữ liệu,"Sao lưu toàn bộ dữ liệu liên quan trước khi chuyển đổi. Nếu có lỗi thì khôi phục được.",Backend,1,$15,$15,Bắt buộc trước khi chạy
8,2,Viết chương trình chuyển ngày,"Chương trình tự động dịch chuyển ngày tháng từ 2026 về 2025 cho tất cả dữ liệu trong đợt bổ sung. Ví dụ: 3/3/2026 → 3/12/2025. Áp dụng cho 6 bảng dữ liệu: video, lượt xem, thống kê video, thống kê campaign, thống kê creator.",Backend,4,$15,$60,Script chạy 1 lần rồi bỏ
9,2,Kiểm tra sau chuyển đổi,"Kiểm tra từng bảng dữ liệu: ngày đã đúng 2025 chưa, số liệu có khớp không, báo cáo campaign hiển thị đúng không. So sánh trước/sau migration.",QC,4,$11,$44,Verify cả 6 bảng dữ liệu + báo cáo tổng hợp
10,2,Điều phối & bàn giao,"Xác nhận creator submit xong, lên lịch chạy chuyển đổi, kiểm tra kết quả với khách hàng, bàn giao.",PM,2,$17,$34,

,Bước 2 — TỔNG,,,,,11,,$153,

,,,,,,,,,,

,TỔNG CỘNG DỰ ÁN,,,,,26,,$362,

,,,,,,,,,,

,PHÂN BỔ NHÂN SỰ,,,,,,,,
,Vai trò,Số giờ,Đơn giá ($/h),Thành tiền ($),% Tổng,,,,
,Backend (Lập trình viên),10,$15,$150,41%,,,,
,QC (Kiểm thử),10,$11,$110,30%,,,,
,DevOps (Hạ tầng),2,$17,$34,9%,,,,
,PM (Quản lý),4,$17,$68,19%,,,,
,TỔNG,26,,$362,100%,,,,

,,,,,,,,,,

,TIMELINE,,,,,,,,
,Ngày,Công việc,,,,,,,
,D+1,"Code + test trên staging (Bước 1)",,,,,,,
,D+2,"Deploy production + mở cửa bổ sung cho campaign",,,,,,,
,D+3 ~ D+X,"Chờ creator submit video (thời gian tùy khách hàng)",,,,,,,
,D+X+1,"Đóng cửa bổ sung + chạy chuyển số liệu về 2025 (Bước 2)",,,,,,,
,D+X+2,"Kiểm tra báo cáo + bàn giao",,,,,,,

,,,,,,,,,,

,GHI CHÚ,,,,,,,,
,"1. Phạm vi: Campaign chỉ có submit video + crawl view. Không có thưởng, không thanh toán, không đối soát.",,,,,,,,
,"2. Số liệu sẽ được dịch ngày tương ứng (ví dụ: 1/3/2026 → 1/12/2025, 2/3/2026 → 2/12/2025, ...). Offset cụ thể sẽ xác định khi biết ngày mở bổ sung và ngày target trong 2025.",,,,,,,,
,"3. Ngày tạo thực tế (createdAt, updatedAt) giữ nguyên 2026 để đối chiếu khi cần.",,,,,,,,
,"4. Dữ liệu được backup trước khi chuyển đổi. Nếu có vấn đề thì khôi phục nguyên trạng.",,,,,,,,
,"5. Tính năng ""thời gian bổ sung"" có thể tái sử dụng cho campaign khác sau này.",,,,,,,,
,"6. Rate theo chuẩn dự án: BE $15/h, QC $11/h, DevOps $17/h, PM $17/h.",,,,,,,,
