Module,Feature Code,Feature Name,Source Status,Vietnam Current State,Philippines Action,Effort,Priority,Owner,Status,Blockers,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Notes
Auth & User,AUTH-01,Đăng ký creator,Existed,"Form RegisterBody: Name + Email + City + Gender + Phone + Password + ConfirmPassword + Ref (pkg/public/model/request/user.go:150)",Giữ nguyên + đổi text EN/Filipino,S,P0,DISO,Ready,,0,0,1,2,1,0,0,0,4,
Auth & User,AUTH-02,Verify số điện thoại (OTP),Existed,Phone +84 + OTP qua AccessTrade SMS (channel Zalo),Phone +63 + OTP qua SMS PH provider,M,P0,DISO,Blocked,§G1 SMS provider,0,1,8,4,3,0,1,2,19,Bỏ Zalo. Service OTP đã có (internal/service/otp.go)
Auth & User,AUTH-03,Đăng nhập bằng Google,Existed,LoginWithGoogle handler (POST /login-with-google),Giữ nguyên,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Auth & User,AUTH-04,Liên kết tài khoản TikTok,Existed,TikTok OAuth + crawl user info (token refresh),Giữ nguyên (global API),S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,Để creator submit content TikTok
Auth & User,AUTH-05,Crawl content Facebook,Existed,Scheduled job GET /crawl-content-facebook (Graph API + regex parse),Giữ nguyên,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,FB chỉ dùng crawl - KHÔNG có OAuth login
Auth & User,AUTH-06,Crawl content Instagram,Missing,KHÔNG có (INSTAGRAM_IS_ENABLE=false),Giữ disabled,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,Chưa implement ở source
Auth & User,AUTH-07,Profile cá nhân,Existed,Form 2 bước (Update + CompleteProfile) + CCCD,Form tương tự + replace CCCD → multi-ID type,M,P0,Partner,Blocked,§F2 ID types,0,1,8,8,4,2,1,2,26,
Auth & User,AUTH-08,Phân loại CBNV vs creator ngoài,Existed,"Model fields: StaffStatus, EmployeeCode, StaffVerifiedAt + workplace",GIỮ logic + init data cơ sở GreenSM PH,M,P0,Partner,Blocked,§I2 số cơ sở PH,0,0,4,2,2,0,1,1,10,Logic ready - chỉ chờ data
Auth & User,AUTH-09,Staff verification,Existed,Full pipeline (pkg/admin/handler/employee_registry.go: import/match/apply),GIỮ logic + init data nhân viên GreenSM PH,M,P0,Partner,Blocked,§I2 employee data,0,0,4,2,2,0,1,1,10,Logic ready - chỉ chờ data
Auth & User,AUTH-10,eKYC liveness + ID OCR,Existed,EkycInfoData model + SaveEkycInfo handler,Manual hay auto provider PH,L hoặc S,P1,Partner,Blocked,§F1 + §F3,2,2,16,8,4,0,2,2,36,Số giờ tính cho auto integration
KYC,KYC-01,Upload ảnh ID 2 mặt,Existed,CreateIdentification handler + model IdentificationUser (CCCD),Multi-ID type 2 mặt,S,P0,Partner,Blocked,§F2,0,1,4,4,2,0,1,1,13,
KYC,KYC-02,Liveness check (selfie video),Existed,Embedded trong EkycInfoData,Giữ nếu auto eKYC + bỏ nếu manual,M,P1,Partner,Blocked,§F1,0,1,4,4,2,0,1,1,13,
KYC,KYC-03,TIN field (tax ID),Existed,Contract có IdentificationNumber field,BỎ KHỎI SCOPE,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,§D1 - khách tự payout qua payroll
Content Management,CONTENT-01,Đăng bài creator,Existed,pkg/public/handler/content.go: Create (POST /events/{id}/content),Giữ nguyên,S,P0,DISO,Ready,,0,0,2,4,2,0,0,1,9,
Content Management,CONTENT-02,Quản lý content (CRUD),Existed,Full CRUD + filter + status (pkg/admin/handler/content.go),Giữ nguyên,S,P0,DISO,Ready,,0,0,2,4,2,0,0,1,9,
Content Management,CONTENT-03,Hashtag rules,Existed,internal/service/content.go: CheckHashTag(),Giữ logic + default #GreenSM,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,§B8
Content Management,CONTENT-04,Resubmit rejected content,Out-of-scope,Đang phát triển ở branch khác - chưa merge vào source PH fork,Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,User chốt: bỏ qua
Campaign & Event,CAMP-01,Event/Campaign management,Existed,Full CRUD admin (pkg/admin/handler/event.go) + model EventRaw,Giữ nguyên,M,P0,DISO,Ready,,0,1,4,4,2,0,1,1,13,
Campaign & Event,CAMP-02,Browse campaign list,Existed,Event list/detail endpoints (GetList + GetDetailBySlug),Giữ nguyên,S,P0,DISO,Ready,,0,0,2,2,1,0,0,1,6,
Campaign & Event,CAMP-03,Đăng ký tham gia campaign,Out-of-scope,Không có endpoint register/join,Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,User chốt: bỏ qua
Campaign & Event,CAMP-04,Tracking participation + reward,Existed,internal/service/event.go (46KB) + model EventReward,Giữ nguyên + đổi currency PHP,M,P0,DISO,Ready,,0,0,0,0,0,0,0,0,0,§I3 PHP only
Reconciliation,RECON-01,Crawl content post-expiry (cron),Missing,KHÔNG có ở vCreator (PRD ở docs/reconciliation-v2 là cho techcombank),Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,User confirm chưa có
Reconciliation,RECON-02,Checklist auto-validate,Missing,KHÔNG có,Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
Reconciliation,RECON-03,Admin force reject + reason,Existed,internal/service/content.go: RejectListContentByIds(reason),Giữ nguyên text EN,S,P0,DISO,Ready,,0,0,1,1,1,0,0,0,3,
Reconciliation,RECON-04,Snapshot dữ liệu đối soát,Missing,KHÔNG có (model reconciliation.go có nhưng snapshot mechanism unclear),Out-of-scope,-,-,-,Done-Cut,,0,0,0,0,0,0,0,0,0,
