,BÁO GIÁ — CƠ CHẾ THƯỞNG CREATOR PHIÊN BẢN 2 + MỞ RỘNG KÊNH X,,,,,,,,,,,,
,Hệ thống Ambassador — 5 cơ chế thưởng mới cho creator onboard + ghi nhận nội dung kênh X (Twitter),,,,,,,,,,,,

Cụm,Giá trị mang lại,Hạng mục,Nội dung bàn giao,Loại,BE (h),FE (h),QA (h),PM (h),BA (h),SA (h),DevOps (h),Tổng giờ,Thành tiền (USD)
A,"BỔ SUNG 2 KHẢ NĂNG THƯỞNG HỆ THỐNG CHƯA CÓ
Hệ thống hiện có 3 loại thưởng (theo lượt xem / đủ số video / đủ lượt xem) và admin vẫn tự cấu hình được.
Nhưng mỗi gói thưởng chỉ trao ĐƯỢC MỘT LẦN DUY NHẤT và chỉ có ĐÚNG MỘT MỐC → không làm được yêu cầu mới.
Cụm này bổ sung 2 khả năng còn thiếu: thưởng LẶP LẠI hàng tháng và thưởng NHIỀU BẬC trong một gói.
Có 2 khả năng này thì 'thưởng theo số video/tháng' và 'thưởng theo mốc hiệu suất' mới chạy được.",Khả năng 1: Thưởng lặp lại hàng tháng,"- HIỆN TẠI: mỗi gói thưởng chỉ trao được MỘT LẦN cho mỗi creator, trao rồi là hết
- Muốn thưởng tháng 8 thì admin phải tạo GÓI MỚI thủ công mỗi tháng, 14 khách hàng × 12 tháng = việc lặp vô tận
- BỔ SUNG: gói thưởng tự lặp theo tháng — hết tháng reset, tháng sau creator lại có cơ hội nhận
- Đảm bảo không trả thưởng trùng cho cùng một creator trong cùng một tháng
- Rà soát và làm sạch dữ liệu thưởng đang tồn tại trước khi áp dụng",Bổ sung,16,0,8,2,2,5,2,35,550
,,Cấu hình chu kỳ cho gói thưởng,"- Thêm lựa chọn chu kỳ khi tạo gói: trao một lần / trong khoảng thời gian cố định (như hiện nay) / lặp hàng tháng
- Chốt sổ tháng vào ngày 1 tháng sau, 02:00 sáng — đủ thời gian cho dữ liệu về đầy đủ
- Các gói thưởng đang chạy giữ nguyên hành vi, không bị ảnh hưởng",Bổ sung,16,0,8,2,3,4,0,33,508
,,Khả năng 2: Thưởng nhiều bậc trong một gói,"- HIỆN TẠI: mỗi gói chỉ đặt được ĐÚNG MỘT mốc (ví dụ: đủ 10 video → 500K). Muốn 3 mức thưởng phải tạo 3 gói riêng,
  và creator đủ 20 video sẽ ăn cả 3 gói cùng lúc — sai ý đồ
- BỔ SUNG: một gói chứa nhiều bậc — 5 video = 200K, 10 video = 500K, 20 video = 1,2 triệu
- Quy tắc: hưởng bậc cao nhất đạt được, không cộng dồn (12 video → nhận 500K, không phải 700K)
- Áp dụng cho cả 'thưởng theo số video/tháng' và 'thưởng theo mốc hiệu suất'",Bổ sung,16,0,8,2,3,3,0,32,488
,,Bảo vệ: chặn cấu hình thưởng sai nền tảng,"- RỦI RO THẬT: kênh Threads hiện KHÔNG lấy được lượt xem. Nếu bật 'thưởng theo lượt xem' cho Threads,
  creator đăng bài, được duyệt, nhưng nhận 0đ — và sẽ khiếu nại
- Hệ thống tự biết mỗi kênh cung cấp được chỉ số nào (lượt xem / like / bình luận)
- Cảnh báo và CHẶN đội vận hành bật nhầm gói thưởng không phù hợp với kênh
- Cho phép chọn chỉ số thay thế khi kênh không có lượt xem",Xây mới,8,6,4,1,2,2,0,23,350
,,Cập nhật màn hình quản trị gói thưởng,"- Bổ sung vào form tạo gói hiện có: chọn chu kỳ, thêm/bớt bậc thưởng
- Xem trước kết quả trước khi kích hoạt: 'creator duyệt 12 video sẽ nhận 500.000đ'
- Cảnh báo trực quan khi chọn kênh không phù hợp với loại thưởng",Bổ sung,4,20,6,2,3,0,0,35,512
,,Thưởng theo lượt xem (PPV) — kích hoạt,"- Hệ thống ĐÃ CÓ SẴN cơ chế này, không phải xây mới — chỉ cần cấu hình và kiểm thử
- Lưu ý quan trọng cần truyền thông cho creator: số liệu cập nhật 2 LẦN/NGÀY, không phải tức thời
- Kiểm thử: lượt xem tăng → tiền tăng đúng đơn giá; bài bị hủy → thu hồi thưởng",Đã có sẵn,2,2,4,1,2,0,0,11,154
