,,,,,NHẬN XÉT,,,,,,,,,,,,
,,,,,Tiêu chuẩn hợp đồng,,81,77,77,60,295,,,,,,
,,,,,Số giờ bù trừ vượt chuẩn tháng 5,,115,2,10,-5,122,,,,,,
,,,,,Số giờ làm thực tế,,126,129,78,41,374,,,,,,
,,,,,Số giờ làm so với tiêu chuẩn,,160,54,11,-24,201,,,,,,
STT,Request/Feature,Mô tả,Impact,Tài liệu liên quan/Notion,Status,Deadline,BE,FE,QC & Project Manager,PM,Total (hours),Dự án ,Gắn nhãn,Ghi chú,AT nghiệm thu,AT Note,DISO Note
1,Onboard Parasola,,,"Notion
Dữ liệu",Dev Testing,4/6,1,20,8,1,30,Ambassador,Onboarding adv,29/5 chốt Design ,Xem xét,"Chưa thấy vai trò PM Là gì trong khi PRD AT đã cung cấp theo file  

Bổ sung file testcase thể hiện được 8h làm việc nghiệm thu 1 hoạt động lặp đi lặp lại hàng tháng ","Checklist nghiệm thu: https://docs.google.com/spreadsheets/d/1EUVasnJJsXrM7wueMMxrsZ0facQ2FQqaCbF4PDroBSU/edit?gid=0#gid=0
- Hoạt động tester tốn 8h do: 
1. Hoạt động review thiết kế tốn feedback cho cả desktop lẫn mobile vì thiết kế clone từ các bản cũ ra nên k đồng nhất các title, btn , màu btn, size banner,...
2. Thiết kế thay đổi lặt vặt nhưng nhiều. Điển hình: Background, các text btn, cùng 1 component nhưng mỗi chỗ mỗi khác (ví dụ như mốc nhận thưởng,...) => FE sửa nhiều lần => QC test lại nhiều round. Chưa kể Hương yêu cầu khắc khe hơn các lỗi UI dù đã xuất hiện sẵn bên Ambassador và các ldp khác -> Phải fix theo feedback của Hương để được release
3. Phải thúc team ops rất nhiều lần để hoàn thành setup nôi dung các bài viết ở môi trường dev (file thông tin cung cấp không đúng id)"
2,Ambassador - xử lý lỗi liên kết thêm tk sang các website khác,Cần clone qua các website có trạng thái đang chạy và vừa hết,Fix lỗi đăng nhập tiktok đã xử lý trên ambassador qua các website frontend custom khác,"Mô tả & Solution

Notion",Dev Testing,11/6,0,4,2,1,7,Ambassador,Operation,,,,
3,Mở tính năng xác thực email cho creator Gen-Green,Chức năng  xác thực email này làm với tính năng phân nhóm Creator (tháng 4) nhưng đang ẩn. Cần mở lại trước khi start verify hết tài khoản user bằng email  ,,Đi chung với chức năng cũ,Pending,,2,1,2,1,6,VCreator,Feature,Đã làm xong nhưng chờ AT/Vin xác nhận đã có email gửi OTP trên môi trường production hay chưa? ,,,
4,"VCreator + TFluencer: Nâng cấp quản lý creator, influencer","- Quản lý toàn diện Influencer bao gồm hồ sơ, hiệu quả tham gia chiến dịch
- Làm cho cả T-Fluencers và VCreator","Hiện tại brand chưa thể xem thông tin cụ thể của 1 creator, influencer. Nếu cần data thì sẽ phải request operation gửi thông tin lên
Các thông tin ít nhất cần có bao gồm:
- Xem thông tin cá nhân
- Xem các kênh social liên kết
- Xem hiệu quả tham gia campaign","PRD
Notion",In progress,24/6,24,16,8,8,56,Tfluencer,Feature,,,,
