Phase,Task ID,Task,File / Module,Description,Effort,Priority,Status,Blockers,DevOps,SA,BE,FE Creator,FE Admin,QC,Design,BA,PM,Total (hours),Notes
1. Setup,SETUP-01,Tạo repo mới + clone vcreator source,N/A,Tạo repo greensm-ph (TBD tên) + push initial commit từ vcreator master,S,P0,Blocked,§H1 tên repo + §H2 git host,2,0,1,0,0,0,0,0,1,4,
1. Setup,SETUP-02,Setup AWS account/cluster mới,Infra,Tạo AWS account/sub-account mới + provision EC2/ECS với cấu hình giống VN (server có sẵn IP 54.169.3.115),M,P0,Partial,§H3 confirm AWS account,16,1,0,0,0,1,0,0,2,20,
1. Setup,SETUP-03,Setup MongoDB cluster mới,Infra,MongoDB Atlas cluster mới hoàn toàn + data fresh,M,P0,Blocked,§H4 Atlas vs self-hosted,8,1,1,0,0,1,0,0,1,12,
1. Setup,SETUP-04,Setup Redis instance mới,Infra,Redis instance mới (config giống VN),S,P0,Ready,,4,0,0,0,0,0,0,0,0,4,
1. Setup,SETUP-05,Setup MinIO buckets mới,Infra,4 buckets: public/private/video/contract,S,P0,Ready,,3,0,0,0,0,0,0,0,0,3,
1. Setup,SETUP-06,Setup domain & DNS,Infra,Trỏ gen-green.ph tới IP 54.169.3.115 qua Cloudflare DNS + SSL cert,S,P0,Ready,§B4 + §H5 đã chốt,4,0,0,0,0,0,0,0,1,5,
1. Setup,SETUP-07,Setup AWS SES Singapore region,Infra,SES verify domain gen-green.ph + DKIM + SPF,S,P0,Ready,,3,0,1,0,0,0,0,0,0,4,
1. Setup,SETUP-08,Setup CI/CD pipeline,.github/workflows/ + Dockerfile,Adapt existing CI/CD cho repo mới,S,P0,Ready,,4,0,1,0,0,0,0,0,1,6,
1. Setup,SETUP-09,Setup ENV variables PH,backend/.env + frontend config,Tạo env file mới với config PH (region + currency + phone code + domain),S,P0,Ready,,2,0,2,1,1,0,0,0,1,7,
2. Config Swap,CONFIG-01,Sửa phone regex,internal/constants/constants.go:39,Đổi `RegexPhoneNumber = ^(0|\\+84|84)(\\d{9}|\\d{10})$` → `^(09|\\+639|639)\\d{9}$` (PH 11 digits prefix 09),S,P0,Ready,,0,0,1,0,0,1,0,0,0,2,
2. Config Swap,CONFIG-02,Sửa phone format util,internal/format/string.go (ToPhoneVN +84 strip),Refactor → generic ToPhone với region (+63),S,P0,Ready,,0,0,2,0,0,1,0,0,0,3,
2. Config Swap,CONFIG-03,Sửa currency formatter,internal/util/format/currency.go,`ToCurrencyVND` (`đ` no decimal dot thousands) → `ToCurrencyPHP` (`₱` 2 decimals comma thousands),S,P0,Ready,,0,0,2,0,0,1,0,0,0,3,
2. Config Swap,CONFIG-04,Đổi schema DB: lưu integer centavos thay VND,model/mg/cashflow.go + model/mg/transaction.go,Đổi field cash từ integer VND → integer centavos (₱1 = 100). Update migration + tất cả query convert,M,P0,Ready,§E5 đã chốt,0,1,16,0,0,2,0,0,1,20,Risk: bug rounding nếu miss query
2. Config Swap,CONFIG-05,Sửa SMS channel - bỏ Zalo,internal/service/otp.go + ENV ACCESS_TRADE_SMS_CHANNEL,Bỏ `Zalo` channel - dùng SMS thuần qua provider PH,M,P0,Blocked,§G1 SMS provider,0,1,8,0,0,2,0,0,1,12,
2. Config Swap,CONFIG-06,Tích hợp SMS PH provider,internal/module/ + internal/service/otp.go,Thay AccessTrade SMS → SMS PH provider (Semaphore/Globe Labs/Twilio/Movider),L,P0,Blocked,§G1,1,2,16,0,0,4,0,1,2,26,
2. Config Swap,CONFIG-07,Đăng ký SMS sender ID với telco PH,Partner-side action,Đăng ký sender ID Globe + Smart + Dito (~3-5 ngày approval),-,P0,Blocked,§G2,0,0,0,0,0,0,0,0,0,0,Partner-side
2. Config Swap,CONFIG-08,Disable Instagram crawl (giữ flag),ENV INSTAGRAM_IS_ENABLE=false,Đảm bảo IG_IS_ENABLE=false (giống VN),S,P0,Ready,,0,0,0,0,0,1,0,0,0,1,IG đang disabled
2. Config Swap,CONFIG-09,Update region constant,internal/config/env.go:146 REGION,Set REGION=PH,S,P0,Ready,,0,0,1,0,0,0,0,0,0,1,
2. Config Swap,CONFIG-10,Update Telegram room/token,ENV TELEGRAM_TOKEN + TELEGRAM_ROOM_ID,Tạo Telegram channel admin PH (hoặc reuse VN),S,P1,Pending,§G3,1,0,0,0,0,0,0,0,0,1,
3. Asset & Branding,BRAND-01,Replace logo,frontend assets (Gen-G.png + Green-Creator.png),Asset GreenSM PH theo Brand Guideline + KV partner cung cấp,S,P0,Ready,§B2,0,0,0,2,0,0,2,0,0,4,
3. Asset & Branding,BRAND-02,Replace favicon,frontend public/favicon.ico,Favicon GreenSM PH (URL drive đã có),S,P0,Ready,§L5,0,0,0,1,0,0,1,0,0,2,
3. Asset & Branding,BRAND-03,Replace banner home + campaign,frontend assets/banner,Banner 3:4 mobile + 20:8 desktop + 9:16 campaign,S,P0,Blocked,§B13 file thiết kế,0,0,0,2,0,1,4,0,0,7,
3. Asset & Branding,BRAND-04,Update color palette + theme,frontend theme config,Theo Brand Guideline GreenSM PH PDF,S,P1,Ready,§B2,0,0,0,2,1,1,2,0,0,6,
3. Asset & Branding,BRAND-05,Update font,frontend theme,Font theo Brand Guideline,S,P0,Ready,§B6,0,0,0,1,0,0,1,0,0,2,
