Mã,Tên,Loại,Làn,Sprint,Điểm,Trạng thái,Vai trò,Bất biến,Phụ thuộc,Tiêu chí chấp nhận,Rủi ro,Ngày bắt đầu,Ngày kết thúc
SP-1,Chốt quyết định D7 — chung adapter AT-Core với creator-os hay tách riêng,Spike,Kỹ thuật,Sprint 0,2,Chưa bắt đầu,BE lead,,,Có quyết định bằng văn bản; nêu rõ hệ quả tới mô hình dữ liệu,Cao,2026-09-28,2026-10-02
SP-2,Khảo sát dữ liệu hiện trạng phục vụ backfill,Spike,Kỹ thuật,Sprint 0,3,Chưa bắt đầu,BE,,,Báo cáo: tổng số khoản chi đang tồn tại; tỉ lệ đủ dữ liệu dựng lại danh tính; số khoản đang treo chưa rõ kết quả,Trung bình,2026-09-28,2026-10-02
SP-3,Xác minh hợp đồng txn_id trên môi trường thật,Spike,Kỹ thuật,Sprint 0,3,Chưa bắt đầu,BE,,,"Xác nhận AT-Core trả 400 khi txn_id trùng; xác nhận txn-inquiry trả kết quả gốc; ghi chép 3 kịch bản: thành công / thất bại / chưa rõ",Cao,2026-09-28,2026-10-02
SP-4,Chốt quy tắc sinh mã khoản chi,Spike,Kỹ thuật,Sprint 0,2,Chưa bắt đầu,BE lead,BB-10,SP-1,Đặc tả 1 trang: tiền tố định danh sản phẩm; độ dài; ký tự cho phép; giới hạn phía AT-Core,Thấp,2026-09-28,2026-10-02
CT-01,Thỏa thuận cơ chế xác định kết quả giao dịch với SERVICE-AT,Task,Đối tác,Sprint 0,5,Chưa bắt đầu,PM,,,"Biên bản thỏa thuận kỹ thuật hai bên gồm: truy vấn theo khoảng thời gian; tra cứu theo mã tham chiếu; kênh callback kèm tài liệu xác thực",Cao,2026-09-28,2026-10-30
CT-02,Xin bản kê giao dịch phía PARTNER từ AT-Core,Task,Đối tác,Sprint 0,3,Chưa bắt đầu,PM,,,Chốt định dạng và tần suất bản kê: mã tham chiếu; số tiền; thời điểm; trạng thái cuối; mã lỗi,Cao,2026-09-28,2026-10-30
CT-03,Xoá endpoint approve không xác thực chi tiền được,Task,Kỹ thuật,Sprint 0,1,Chưa bắt đầu,BE,,,Gọi PUT /api/withdraw/migration/withdraw/:id/approve trả về 404,Thấp,2026-09-28,2026-09-30
CT-04,Đưa đường kích hoạt chi theo danh sách user xuống sau IsRelease,Task,Kỹ thuật,Sprint 0,1,Chưa bắt đầu,BE,,,Gọi đường kích hoạt trên môi trường thật trả về 404,Thấp,2026-09-28,2026-09-30
CT-05,Chặn tạo khoản chi mới khi khách còn khoản treo,Task,Kỹ thuật,Sprint 0,3,Chưa bắt đầu,BE,,CT-06,Tạo khoản chi mới cho khách đang còn khoản treo bị từ chối kèm lý do đọc được. CHỈ BẬT khi CT-06 CT-07 CT-08 đã sẵn sàng,Cao,2026-09-30,2026-10-02
CT-06,Truy vấn lưu sẵn danh sách khoản treo quá 24h kèm mã tra cứu,Task,Vận hành,Sprint 0,2,Chưa bắt đầu,Vận hành,,,Vận hành mở được danh sách khoản treo quá 24h kèm mã tra cứu mà không cần kỹ sư,Thấp,2026-09-28,2026-09-30
