SUMMARY: HOURS PER MODULE
Module,Tasks,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (h),Total ($)
1. Setup,3,17,0,11,5,3,0,0,2,38,$602
2. Foundation Config,1,1,2,18,1,4,0,1,3,30,$451
3. Replace hardcode (Backend),5,0,3,40,0,16,0,1,2,62,$878
3. Replace hardcode (Frontend),1,0,0,1,8,3,0,0,0,12,$168
4. Contract & Legal,2,0,1,8,7,4,0,5,2,27,$381
5. i18n,2,0,0,4,14,6,1,8,2,35,$475
6. Branding,1,0,0,4,8,4,0,0,0,16,$224
7. Data Init,1,0,0,6,0,2,0,2,0,10,$134
8. Bug Fixes (Backend),4,0,0,33,0,17,0,0,0,50,$682
9. Payout Offline Mode,2,0,1,11,12,6,0,1,1,32,$459
11. QA & Launch,3,4,0,4,9,50,0,40,9,116,$1433
TOTAL,25,22,7,140,64,115,1,58,21,428,$5887
Đơn giá ($/h),,$17,$17,$15,$15,$11,$11,$11,$20,—,—
Cost ($),,$374,$119,$2100,$960,$1265,$11,$638,$420,$5887,$5887
