Danh mục chức năng,Tính năng chính,Cách hoạt động,Thời gian dự kiến,Lợi ích cho Brand,Lợi ích cho Influencer,Lợi ích cho Admin,Ví dụ minh họa
NÂNG CẤP CHIẾN DỊCH,Mở rộng nền tảng mạng xã hội - Hỗ trợ Threads & Facebook Posts,"Bổ sung Threads và Facebook Posts vào danh sách nền tảng hỗ trợ.

Đối với Facebook Posts: Tính thưởng dựa trên số lượng người theo dõi (followers) của Page thay vì lượt xem:
• 1.000-5.000 followers: 100.000đ
• 5.000-10.000 followers: 200.000đ
• 10.000-50.000 followers: 500.000đ
• Trên 50.000 followers: 1.000.000đ

Đối với Threads: Vẫn tính thưởng theo lượt xem như trước.",01/03 → 15/03,"Tăng độ phủ sóng lên 40% nhờ tiếp cận thêm 2 nền tảng mới:
• Threads: Hơn 2 triệu người dùng tại Việt Nam
• Facebook: Hơn 70 triệu người dùng

Theo dõi hiệu quả từng nền tảng riêng biệt để tối ưu chiến lược truyền thông.","Tăng cơ hội thu nhập gấp 3 lần nhờ đăng bài trên 3 nền tảng khác nhau.

Chủ động chọn nền tảng phù hợp với đối tượng người theo dõi của mình.

Xem được chỉ số CTR (tỷ lệ nhấp chuột) của từng nền tảng ngay trên bảng điều khiển.",Không áp dụng,"Influencer A có Facebook Page với 25.000 followers → Nhận thưởng 500.000đ/bài đăng khi tham gia chiến dịch.

Lựa chọn khác: Đăng bài trên Threads và đạt 30.000 lượt xem → Nhận thưởng 30.000đ."
,Hệ thống kiểm tra điều kiện tham gia tự động,"Khi người dùng nhấn nút ""Tham gia chiến dịch"":

1. Hệ thống tự động kiểm tra các yêu cầu theo thời gian thực
2. Hiển thị danh sách kiểm tra (checklist) rõ ràng:
   • Tuổi tài khoản
   • Email đã xác thực chưa
   • Số lượng người theo dõi
   • Đã liên kết Pub2 chưa
3. Nút ""Tham gia"" sẽ bị vô hiệu hóa nếu chưa đáp ứng đủ yêu cầu
4. Người dùng khắc phục các vấn đề → Kiểm tra lại → Kích hoạt nút tham gia",15/03 → 31/03,"Chất lượng ứng viên tăng cao - chỉ những influencer đáp ứng đủ điều kiện mới có thể gửi đơn đăng ký.

Giảm đáng kể số lượng hồ sơ chất lượng thấp cần phải xem xét.","Tiết kiệm tới 80% thời gian - biết ngay mình còn thiếu gì.

Tự đánh giá năng lực trước khi gửi đơn.

Trải nghiệm người dùng tốt hơn, không còn cảm giác bối rối hay không rõ yêu cầu.","Giảm 30% khối lượng công việc (ít hồ sơ không đạt yêu cầu hơn).

Giảm 50% số lượng yêu cầu hỗ trợ (người dùng tự kiểm tra trước).","Trước khi có tính năng:
• 100 đơn đăng ký → 30 bị từ chối → 30 yêu cầu hỗ trợ

Sau khi có tính năng:
• 70 đơn đăng ký (đủ điều kiện) → 10 bị từ chối → 5 yêu cầu hỗ trợ

Kết quả: Admin tiết kiệm được 3 giờ cho mỗi chiến dịch."
,Hệ thống thưởng hiệu suất - Động lực cạnh tranh tích cực,"Hệ thống thu thập và đánh giá dữ liệu theo 3 tiêu chí:
• Số lượng chuyển đổi (conversion): 50% trọng số
• Tỷ lệ nhấp chuột (CTR): 30% trọng số
• Điểm chất lượng nội dung: 20% trọng số

Tính điểm tổng hợp → Xếp hạng từ 1 đến N

Các mức thưởng thêm:
• Top 1-3: +30% trên thưởng cơ bản
• Top 4-10: +20% trên thưởng cơ bản
• Top 11-20: +10% trên thưởng cơ bản

Công thức tính: Thu nhập cuối = Thưởng cơ bản × (1 + % thưởng thêm)",15/03 → 31/03,"ROI (lợi nhuận đầu tư) cao hơn - chỉ thưởng khi có kết quả thực sự.

Top performers (người có hiệu suất cao) gắn bó lâu dài hơn (tỷ lệ giữ chân tăng 15%).

Thúc đẩy chất lượng nội dung được nâng cao.","Tăng thu nhập từ 10-30% (Top 3 nhận thêm 30%).

Động lực cạnh tranh lành mạnh với bảng xếp hạng công khai.

Tiêu chí xếp hạng minh bạch, rõ ràng.","Tự động hóa hoàn toàn - hệ thống tự tính xếp hạng và thưởng thêm.

Bảng điều khiển hiển thị top performers (những người có hiệu suất cao nhất).","Influencer A đạt Top 1:
• 15 chuyển đổi → 7,5 điểm (50%)
• CTR 12% → 3,6 điểm (30%)
• Điểm chất lượng 4,5/5 → 1,8 điểm (20%)
• Tổng điểm: 12,9

Thưởng cơ bản: 500.000đ
Thưởng cuối: 650.000đ (+30% bonus)"
THƯ VIỆN INFLUENCER,Xây dựng & Sở hữu cơ sở dữ liệu Influencer,"Tổng hợp dữ liệu từ 4 nguồn:

1. Thông tin đăng ký của Influencer
2. Thu thập tự động hàng ngày từ mạng xã hội (Facebook/Instagram/TikTok APIs)
3. Lịch sử hiệu suất chiến dịch:
   • Tỷ lệ hoàn thành
   • Lượt xem trung bình
   • CTR, CVR
4. Đánh giá của Brand (thang điểm 1-5 sao)

Brand có thể:
• Thêm vào Danh sách ưa thích (Whitelist/Favorites)
• Thêm vào Danh sách đen (Blacklist)

Các gói dịch vụ:
• Miễn phí: Xem 50 hồ sơ hàng đầu
• Premium: 500.000đ/tháng - Truy cập đầy đủ
• Enterprise: Tùy chỉnh theo nhu cầu",16/03 → 15/04,"Sở hữu cơ sở dữ liệu riêng để tái sử dụng cho các chiến dịch sau.

Giảm 60% rủi ro nhờ chọn từ nhóm đã được xác minh.

Tiết kiệm 80% thời gian casting (từ 10 giờ xuống còn 2 giờ).

Ra quyết định dựa trên dữ liệu thực tế.

Quản lý Danh sách đen & Danh sách ưa thích.

Quản lý mối quan hệ dài hạn.","Tăng khả năng hiển thị - hồ sơ xuất hiện trong thư viện của nhiều brands.

Lịch sử thành tích minh bạch, có thể chứng minh.

Được ưu tiên cho các chiến dịch tiếp theo.","Tự động tổng hợp dữ liệu từ 4 nguồn.

Góc nhìn 360° về influencer:
• Thống kê mạng xã hội
• Hiệu suất chiến dịch
• Đánh giá từ brands
• Lịch sử hợp tác

Cơ hội kiếm tiền (Gói Premium Library Access).","Brand A - Chiến dịch lần 1:
• Duyệt thư viện → Tìm 20 influencers lĩnh vực Tài chính
• Đánh giá sau chiến dịch: A, B, C xuất sắc → Thêm vào Favorites; D, E kém → Thêm vào Blacklist

Chiến dịch lần 2 (3 tháng sau):
• Mời hàng loạt influencers trong Favorites (A, B, C)
• Tiết kiệm 8 giờ nghiên cứu

Chiến dịch lần 3:
• Nâng cấp lên Premium
• Truy cập 1.000+ hồ sơ
• Lọc nâng cao, xuất CSV"
,Tìm kiếm & Khám phá Influencer,"Tính năng tìm kiếm bao gồm:

• Thanh tìm kiếm + Bộ lọc chi tiết:
  - Lĩnh vực (niche)
  - Khu vực địa lý
  - Số lượng người theo dõi
  - Tỷ lệ tương tác (engagement)
  - Mức giá
  - Tình trạng sẵn sàng

• Hệ thống thực hiện tìm kiếm → Hiển thị kết quả dạng lưới/danh sách

• Tùy chọn sắp xếp:
  - Mức độ phù hợp
  - Giá cả
  - Số lượng followers
  - Chiến dịch gần đây

• AI gợi ý ""Influencers tương tự"" dựa trên:
  - Cùng lĩnh vực
  - Followers tương đương (±20%)
  - Điểm chất lượng tương đương (±10 điểm)",16/04 → 30/04,"Tìm đúng người chỉ trong 30 giây.

Bộ lọc nâng cao theo:
• Tỷ lệ tương tác
• Hiệu suất chiến dịch trước
• Mức giá

Tiết kiệm 80% thời gian (từ 10 giờ xuống còn 2 giờ).","Được khám phá dễ dàng hơn - hồ sơ xuất hiện khi khớp đúng lĩnh vực.

AI gợi ý ""Influencers tương tự"" → Brands khám phá thêm nhiều lựa chọn.",Không áp dụng,"Brand A (Mỹ phẩm) tìm kiếm:
• Từ khóa: ""Beauty blogger Hà Nội""
• Bộ lọc:
  - 10.000-50.000 followers
  - Tỷ lệ tương tác >5%
  - Giá <1.000.000đ
• Kết quả: 15 kết quả phù hợp

Sắp xếp theo Điểm Chất lượng.

Nhấp vào Influencer B → AI gợi ý:
• C (35.000 followers, điểm 85)
• D (28.000 followers, điểm 82)

Đặt B + C chỉ trong 2 phút thay vì 2 giờ."
,Hệ thống chấm điểm & Kết nối thông minh,"Tính Điểm Chất lượng (thang 0-100):
• Chỉ số mạng xã hội: 30%
• Tỷ lệ tương tác: 25%
• Đánh giá từ Brand: 25%
• Tỷ lệ hoàn thành chiến dịch: 20%

Phân hạng điểm:
• Xuất sắc (Elite): 90-100 điểm
• Rất tốt (Excellent): 80-89 điểm
• Tốt (Good): 70-79 điểm
• Trung bình (Average): 60-69 điểm
• Kém (Poor): Dưới 60 điểm

Kết nối tự động:
• Brand tạo chiến dịch → Hệ thống tìm influencers phù hợp
• Xếp hạng theo độ phù hợp
• AI gợi ý top 10 kèm tỷ lệ thành công dự đoán",01/05 → 15/05,"Kết nối tự động với độ chính xác 90% (AI gợi ý top 10).

Dự đoán tỷ lệ thành công (ví dụ: 85% cơ hội).

Giảm thiểu sai lệch - quyết định dựa trên dữ liệu.","Điểm số minh bạch (ví dụ: Điểm Chất lượng 87/100).

Được gợi ý cho đúng các chiến dịch phù hợp.",Không áp dụng,"Chiến dịch thẻ tín dụng cần 50 influencers lĩnh vực Tài chính:

Influencer A:
• Điểm = (85×0,3) + (8%×5×0,25) + (4,8×10×0,25) + (95%×20×0,2)
• Điểm = 66,5/100

Kiểm tra khớp tiêu chí:
• Lĩnh vực Tài chính: 100% ✅
• Followers >10.000: ✅
• Khu vực Hà Nội: ✅
• Độ phù hợp: 95%
• Tỷ lệ thành công dự đoán: 85%"
,Hệ thống đặt chỗ & Xác nhận lịch,"Quy trình đặt chỗ:

1. Brand duyệt Thư viện → Nhấn ""Đặt ngay""
2. Popup hiển thị lịch của influencer
3. Điền form đặt chỗ:
   • Ngày tháng
   • Sản phẩm cần làm (deliverables)
   • Chi phí
4. Gửi → Hệ thống kiểm tra lịch trống
5. Tính phí đặt cọc 30%
6. Thông báo cho influencer

Influencer xem xét và phản hồi:
• Chấp nhận → Trạng thái xác nhận, lịch bị khóa, nhận đặt cọc
• Từ chối → Hoàn tiền
• Trả giá → Thương lượng lại

Thực hiện chiến dịch:
• Hoàn thành sản phẩm → Nhận 70% còn lại",15/05 → 30/05,"Cam kết rõ ràng (đặt → xác nhận → thỏa thuận chắc chắn).

Đặt cọc 30% để khóa thỏa thuận.

Tránh xung đột lịch (kiểm tra lịch trống trước).","Tránh quá tải (không bị đặt 5 chiến dịch cùng một lúc).

Nhận đặt cọc trước (30% ngay lập tức).

Tích hợp lịch làm việc.","Tự động kiểm tra xung đột lịch.

Theo dõi đặt chỗ (bảng điều khiển hiển thị pending/confirmed).","Brand A đặt Influencer B cho ""Review thẻ tín dụng"":
• Thời gian: 1-7/5
• Chi phí: 500.000đ
• Đặt cọc 30% = 150.000đ

Influencer B chấp nhận:
• Lịch bị khóa
• Nhận 150.000đ

Ngày 1-7/5: Tạo video

Ngày 7/5: Gửi sản phẩm → Brand duyệt

Ngày 8/5: Nhận 70% còn lại = 350.000đ

Tổng cộng: 500.000đ"
TRUNG TÂM AFFILIATE,Kết nối chương trình Affiliate với Chiến dịch,"⚠️ QUAN TRỌNG: Việc theo dõi affiliate do hệ thống Pub2 AccessTrade quản lý. Nền tảng chỉ tích hợp qua API.

Quy trình hoạt động:

1. Admin thiết lập chiến dịch liên kết với Pub2 Program ID
2. Influencer nhấn ""Tạo link"" → Nền tảng gọi API Pub2
3. Pub2 tạo link affiliate có mã tracking (sub_id) → Trả về link
4. Người dùng nhấp vào link → Pub2 theo dõi
5. Có chuyển đổi → Pub2 gửi webhook thông báo
6. Bảng điều khiển tổng hợp:
   • Thưởng từ nền tảng
   • Hoa hồng từ Pub2",01/04 → 30/04,"Tăng tỷ lệ chuyển đổi (influencers có động lực tạo nội dung chất lượng).

Win-win (brand có doanh số, influencer có hoa hồng).

ROI rõ ràng (theo dõi lượt xem + nhấp chuột + chuyển đổi).","Tăng thu nhập từ 2-10 lần (1 video kiếm được thưởng lượt xem + hoa hồng affiliate lên tới 2.550.000đ).

1 nội dung, 2 nguồn thu nhập.

Bảng điều khiển thống nhất, dễ theo dõi.",Không áp dụng,"Influencer A tạo video review thẻ tín dụng:

Nguồn thu nhập 1 - Thưởng lượt xem:
• 100.000 lượt xem → 50.000đ

Nguồn thu nhập 2 - Hoa hồng Affiliate:
• Tạo link: pub2.vn/brandA?sub_id=influencerA_campaign123
• 500 nhấp chuột
• 5 chuyển đổi × 500.000đ = 2.500.000đ

Tổng thu nhập: 50.000đ + 2.500.000đ = 2.550.000đ từ 1 video"
NÂNG CẤP HỆ THỐNG,Phát hiện gian lận - Nâng cấp & Tối ưu,"Giai đoạn 1 (ĐÃ CÓ):
• Xác thực số lượt xem
• Kiểm tra tỷ lệ tương tác
• Phân tích xu hướng tăng trưởng
• Phát hiện nội dung trùng lặp

Giai đoạn 2 (MỚI - Machine Learning):
• Phát hiện lượt xem giả (bot views):
  - Phân tích thời gian xem
  - Phân tích vị trí địa lý
  - Phân tích thời gian xem video

• Phát hiện tương tác giả:
  - Bình luận chung chung
  - Mẫu hình lượt thích

• Kiểm tra chất lượng người theo dõi:
  - % tài khoản bot

• Tính nhất quán giữa các nền tảng

Thang điểm gian lận:
• 0-0,3: Hợp lệ (legitimate)
• 0,3-0,7: Cần xem xét thủ công
• 0,7-1,0: Tự động từ chối",16/04 → 15/05,"Tiết kiệm hơn 200 triệu đồng/năm (phát hiện được hơn 80% lượt xem giả).

Bảo vệ ROI (chỉ trả tiền cho lượt xem thật).

Giảm thiểu rủi ro (ML phát hiện mẫu hình gian lận).","Cạnh tranh công bằng (người gian lận bị phát hiện).

Không bị ảnh hưởng (tỷ lệ phát hiện nhầm <5%).",Tự động hóa (ML tự phát hiện). Chặn theo thời gian thực (phát hiện gian lận trong vòng 24 giờ).,"Influencer A (Gian lận):
• 100.000 lượt xem trong 2 giờ
• 95% từ Indonesia
• Thời gian xem trung bình: 3 giây
• Tỷ lệ tương tác: 0,05%
→ Điểm gian lận: 0,85 → Tự động từ chối

Influencer B (Hợp lệ):
• 50.000 lượt xem trong 7 ngày
• 90% từ Việt Nam
• Thời gian xem trung bình: 4 phút 30 giây
• Tỷ lệ tương tác: 5,4%
→ Điểm gian lận: 0,05 → Tự động duyệt

Kết quả: Brand tiết kiệm 200 triệu/năm"
,Trợ lý AI thiết lập chiến dịch,"Quy trình làm việc với AI:

1. Brand nhập brief ngắn gọn:
   • Sản phẩm
   • Đối tượng mục tiêu
   • Ngân sách

2. AI phân tích và gợi ý:
   • Phân tích từ khóa
   • Tìm kiếm chiến dịch tương tự trong quá khứ
   • Rút ra các mẫu hình thành công

3. AI tạo bản nháp chiến dịch:
   • Tiêu đề
   • Mô tả
   • Lĩnh vực
   • Yêu cầu
   • Ngân sách
   • Thời gian
   • Điều khoản & Điều kiện

4. Brand xem xét các gợi ý của AI
5. Chỉnh sửa nếu cần
6. Phê duyệt & Xuất bản

Đào tạo AI: GPT-4 được tinh chỉnh trên hơn 200 chiến dịch thực tế.",01/04 → 15/04,"Tạo chiến dịch nhanh gấp 5 lần (từ 2 giờ xuống còn 20 phút).

Tính nhất quán cao (không bỏ sót trường bắt buộc).

Học hỏi từ các best practices (thực tiễn tốt nhất).

Gợi ý ngân sách thông minh.",Không áp dụng,Không áp dụng,"Brand A nhập brief:
• ""Chiến dịch review thẻ tín dụng Brand A, target Gen Z, ngân sách 30 triệu""

AI tạo trong 10 giây:
• Tiêu đề: ""Review Thẻ Tín Dụng Brand A - Đặc Quyền Gen Z""
• Lĩnh vực: Tài chính
• Yêu cầu: Trên 10.000 followers
• Ngân sách: 30 triệu (60 influencers × 500.000đ)
• Thời gian: 15 ngày
• Điều khoản: Tự động tạo

Brand xem xét → Phê duyệt

Tiết kiệm: 100 phút"
