STT,Objective,Task,Mô tả,Note,Timeline,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours)

,MỞ RỘNG QUỐC GIA MỚI — VCreator Global,,,,,,,,,,,,,
,"Tổng quan: Báo giá cho MỖI LẦN thêm 1 quốc gia mới vào VCreator Global Platform. Platform đã có đầy đủ features — thêm country = Configuration + Content + Compliance + Ops + QA. KHÔNG bao gồm phát triển features mới.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

,LEGAL & COMPLIANCE RESEARCH,,,,,,,,,,,,,
1,Legal & Compliance,Tax Rules Research,"Nghiên cứu thuế TNCN/withholding tax per country. Tax bands, rates, withholding rules, reporting requirements.","- Nghiên cứu tax law per country
- Xác định: tax rate, bands, withholding rules
- Annual reporting requirements
- So sánh vs countries hiện có (VN, PH)
- Output: tax config document cho dev setup",D-30 → D-20,0,0,0,0,0,0,8,4,12
2,,KYC Requirements Mapping,"Xác định danh sách ID types accepted, validation rules, document format requirements per country.","- Danh sách Government ID types accepted
- Validation rules per ID type (format, expiry)
- Document upload requirements (resolution, file size)
- VD: Indonesia = KTP, SIM, Passport
- Output: KYC config document",D-30 → D-20,0,0,0,0,0,0,8,4,12
3,,Privacy & Data Protection Assessment,"Đánh giá privacy laws per country: data residency, consent, retention, deletion rights.","- Privacy law assessment (GDPR-like, local laws)
- Data residency requirements
- Consent requirements
- Data retention / deletion policies
- Output: privacy compliance checklist",D-30 → D-20,0,4,0,0,0,0,8,4,16
4,,Legal Content Review & Drafting,"Soạn T&C, Contract, Privacy Policy per country per language. Review bởi luật sư local.","- Draft T&C per country per language
- Draft Contract template per country
- Draft Privacy Policy per country
- Legal review bởi luật sư local (external)
- Finalize + approve
- CRITICAL PATH: lead time 2-4 tuần",D-30 → D-10,0,0,0,0,0,0,16,8,24
5,,Business & Regulatory Compliance,"Giấy phép kinh doanh, compliance requirements cho nền tảng tại country mới.","- Business license requirements per country
- Platform operation permits
- Financial service regulations (nếu applicable)
- Data processing agreements
- Output: compliance readiness report",D-30 → D-15,0,0,0,0,0,0,8,4,12
,,,,,,,,,,,,,,

,PLATFORM CONFIGURATION,,,,,,,,,,,,,
6,Platform Config,Country Config Setup,"Tạo country config trong Country Config Service: code, name, currency, languages, timezone.","- Tạo record country config
- Currency: code, symbol, position, decimal
- Languages: local + English
- Timezone, date format, number format
- Enable country: active = true
- Test: country xuất hiện trong country selector",D-20 → D-15,0,2,8,0,2,0,2,2,16
7,,Currency & Exchange Rate Setup,"Config currency per country. Tìm exchange rate API source. Setup integration + cache.","- Research exchange rate API per country (central bank / financial API)
- Setup API integration + Redis cache
- Config TTL, fallback rules
- Test: realtime rate hiển thị đúng
- Test: fallback khi API fail",D-20 → D-15,0,2,16,0,4,0,2,2,26
8,,Tax Engine Configuration,"Nhập tax rules, rates, withholding config vào Tax Calculation Engine. Test calculations.","- Nhập tax rules từ Legal Research output
- Config: rate, bands, withholding type
- Test: Gross → Tax → Net calculation
- Test: edge cases (zero earnings, max tier)
- Test: annual tax summary generation",D-15 → D-10,0,2,8,0,4,0,2,2,18
9,,KYC Configuration,"Config accepted ID types, validation rules, upload requirements per country.","- Nhập accepted ID types từ KYC Research output
- Config validation rules per ID type
- Config upload requirements (format, size)
- Test: KYC form hiển thị đúng ID types
- Test: validation rules hoạt động",D-15 → D-10,0,2,8,4,4,0,2,2,22
10,,Bank List & Payment Gateway Setup,"Nhập danh sách banks, e-wallets. Setup payment gateway integration per country.","- Research: banks list per country
- Nhập bank/e-wallet list + validation format per bank
- Setup payment gateway credentials (sandbox + production)
- Config: payment methods allowed per country
- Test: sandbox payment end-to-end",D-20 → D-10,2,4,16,0,4,0,2,2,30
11,,OAuth & Social Platform Config,"Config OAuth providers enabled, social platforms allowed per country.","- Config OAuth providers (TikTok, Google, Facebook — shared credentials)
- Config social platforms per country (TikTok, FB, IG, Threads, YouTube)
- Config content URL validation per platform
- Test: OAuth login flow cho country mới
- Test: content URL validation",D-15 → D-10,0,2,4,4,4,0,2,2,18
