Creator ID,Creator Name,Channel URL,Main Platform,Creator Type,Tier,Lifecycle Status,Owner,Main Vertical,Platform Setup Ready,MCN/TAP Joined,Last Activity Date,Notes,Sub Vertical / Product Fit,Followers / Subscribers,Avg Views / Post,Avg Engagement Rate,GMV 30D,Orders 30D,CR,Audience Persona,Content Format Strength
C001,Fanpage Ăn Gì Hôm Nay,facebook.com/angi,Fanpage/Meta,Fanpage,VIP,Active,Care Lead 01,F&B,Yes,No,04/05/2026,"Fanpage lớn, ưu tiên chính sách Meta/traffic","Food deals, restaurant review","850,000","120,000",4.5%,"60,000,000","1,200",2.5%,"18-34, urban food lovers","Reels, meme, trend post, comment link"
C002,KOC Beauty Lan Anh,tiktok.com/@lananhbeauty,TikTok/TAP,KOC,VIP,Active,Senior Care 02,Beauty,Yes,Yes,03/05/2026,"GMV tốt, có thể test GMV Max","Skincare, cosmetics, affiliate review","320,000","85,000",6.2%,"95,000,000","1,800",3.8%,"Female 18-30, beauty shoppers","Short video review, demo, before-after"
C003,Shopee Review Nhà Xinh,shopee.vn/creator/nha_xinh,Shopee,KOC,Gold,Ready,Care 03,FMCG,Yes,Yes,02/05/2026,Đã join Shopee MCN,"Home, household, FMCG bundles","120,000","30,000",3.9%,"25,000,000",450,2.2%,"25-40, homemakers, deal seekers","Shopee video, list sản phẩm, deal post"
C004,Mẹ Bé Tips,facebook.com/mebetips,Fanpage/Meta,Fanpage,Normal,Applied,Care 04,Mom & Baby,No,No,01/05/2026,Cần hướng dẫn setup link/comment,"Mom care, baby products","210,000","28,000",3.1%,0,0,0.0%,"Female 25-40, young moms","Educational post, reels, product list"
C005,Travel KOC Minh,tiktok.com/@minhtravel,TikTok/TAP,KOC,Normal,Contacted,Care 05,Travel,No,No,30/04/2026,"Đã contact, chưa phản hồi","Travel services, luggage, experience","74,000","22,000",5.2%,0,0,0.0%,"18-35, travelers, deal hunters","Short video, travel tips, story review"
C006,Live Host Hương,tiktok.com/@huonglive,Livestream,Livestreamer,Gold,Active,Care 03,Beauty,Yes,Yes,04/05/2026,Có lịch live test,"Live selling, beauty combo","180,000","45,000",4.8%,"35,000,000",600,3.0%,"Female 20-35, live shopping audience","Livestream demo, deal pitching"
C007,Deal Săn Sale,facebook.com/dealsansale,Fanpage/Meta,Fanpage,Watchlist,Inactive,Care 06,Electronics,Yes,No,15/04/2026,"Reach giảm, cần reactivation","Flash sale, electronics, gadget","500,000","15,000",1.2%,"5,000,000",80,1.1%,"18-40, deal hunters","Deal post, link comment, list sản phẩm"
C008,KOC Dược Sĩ An,tiktok.com/@duocsian,TikTok/TAP,KOL,VIP,Approved,Senior Care 02,Health,No,No,04/05/2026,"Chuyên gia, cần onboarding VIP","Pharmacy, health education","260,000","70,000",5.7%,0,0,0.0%,"25-45, health-conscious audience","Expert education, compliant review"
C009,KOC Thời Trang Vy,tiktok.com/@fashionvy,TikTok/TAP,KOC,New,New,Care 01,Fashion,No,No,04/05/2026,Lead mới,"Women fashion, accessories","36,000","9,000",5.0%,0,0,0.0%,"Female 18-28, fashion shoppers","Try-on video, mix-match, short review"
C010,Auto Review Long,youtube.com/@longauto,Multi-platform,KOL,Gold,Ready,Care 05,Auto,Yes,No,03/05/2026,Đa nền tảng,"EV, car accessories, mobility","150,000","40,000",2.8%,0,0,0.0%,"Male 25-45, auto enthusiasts","Long-form review, shorts, expert comparison"
