STT,Nhóm thông tin,Nội dung cần cung cấp,Bắt buộc,Ví dụ / Gợi ý,Nội dung ADV điền
1,Thương hiệu,Tên thương hiệu hiển thị trên ứng dụng,Bắt buộc,Parasola Creators Hub,
2,Thương hiệu,"Slug / mã đường dẫn (chữ thường không dấu, nằm trong URL landing)",Bắt buộc,"parasola (AT đề xuất, ADV xác nhận — chốt từ đầu vì nằm trong URL)",
3,Thương hiệu,Màu chủ đạo của thương hiệu (mã màu HEX),Bắt buộc,#FFC0D4,
4,Thương hiệu,Màu phụ (để trống nếu dùng mặc định),Tùy chọn,,
5,Thương hiệu,Font chữ sử dụng (font chính và font phụ nếu có),Bắt buộc,Montserrat / Roboto,
6,Hình ảnh,Logo thương hiệu (gửi kèm file thiết kế),Bắt buộc,File PNG nền trong suốt,
7,Hình ảnh,Favicon (icon nhỏ hiển thị trên tab trình duyệt),Bắt buộc,File PNG/ICO,
8,Hình ảnh,Banner home (2 size: 20:8 và 4:3),Bắt buộc,4320x1728 px + 1280x960 px,
9,Hình ảnh,Cover chiến dịch (2 bản: Tiêu chuẩn và Stretch),Bắt buộc,Gửi kèm file thiết kế,
10,Hình ảnh,Brand guideline / tài liệu nhận diện thương hiệu,Bắt buộc,File thiết kế,
11,Tên miền,Tên miền (domain) sẽ dùng để chạy trang landing,Bắt buộc,parasola-creator.com,
12,Nội dung trang,Tiêu đề trang khi chia sẻ (OpenGraph title),Bắt buộc,Parasola by Naris Creators Hub,
13,Nội dung trang,Mô tả trang khi chia sẻ (OpenGraph description),Bắt buộc,Sáng tạo video nhận thưởng mỗi ngày cùng Parasola,
14,Nội dung trang,Ảnh xem trước khi chia sẻ mạng xã hội (nếu có),Tùy chọn,Kích thước 1200x630,
15,Nội dung trang,Từ khóa SEO (nếu có),Tùy chọn,,
16,Chiến dịch,Tên chiến dịch,Bắt buộc,Parasola Sun Match,
17,Chiến dịch,Thời gian chạy chiến dịch (ngày bắt đầu – ngày kết thúc),Bắt buộc,01/07 – 31/08,
18,Chiến dịch,Ngân sách campaign (VND),Bắt buộc,,
19,Chiến dịch,"Chi tiết chiến dịch (thông điệp, thể lệ, sản phẩm, guideline creator)",Bắt buộc,Xem file thể lệ chiến dịch,
20,Chiến dịch,Hashtag chính thức của chiến dịch,Bắt buộc,#ParasolaSunMatch #MatchChuanNang,
21,Chiến dịch,Tiêu đề bảng xếp hạng top creator,Bắt buộc,Top Parasola Creator,
22,Liên hệ,Email liên hệ của đối tác,Bắt buộc,email@congty.com,
23,Liên hệ,"Đường dẫn khi bấm nút ""Về đối tác"" (website chính thức)",Bắt buộc,https://naris.vn/,
24,Liên hệ,Trang Facebook chính thức,Bắt buộc,https://facebook.com/parasolavietnam,
25,Liên hệ,Kho tư liệu / guideline dùng chung (nếu có),Tùy chọn,Link Google Drive,
