,"HƯỚNG DẪN: Duplicate (Nhân bản) sheet ""Template"" → đặt tên = TÊN CỦA BẠN → trả lời các câu hỏi trong sheet của mình.",,,
STT,Nhóm,Câu hỏi / Thao tác,Có làm? (tick nếu có),Bạn muốn nói gì thêm cũng được (tần suất / cảm nhận / ví dụ / bức xúc...)
,THÔNG TIN NGƯỜI ĐIỀN,,,
,Tên,,,
,Dự án,,,
,Vai trò,,,
,Số ADV đang phụ trách,,,
,,,,
,A. CÁC VIỆC BẠN LÀM HỘ ADV,"Tick việc nào bạn có làm. Cột bên phải: ghi gì cũng được — hay làm không, mất bao lâu, bực chỗ nào... tuỳ bạn.",,
1,A1. Báo cáo & số liệu,Xuất / gửi báo cáo hiệu quả campaign cho ADV,,
2,A1. Báo cáo & số liệu,Tra cứu số liệu lẻ khi ADV hỏi (Zalo/email/họp),,
3,A1. Báo cáo & số liệu,Tổng hợp báo cáo định kỳ (tuần/tháng) cho ADV,,
4,A1. Báo cáo & số liệu,Export data thô (CSV/Excel) theo yêu cầu ADV,,
5,A1. Báo cáo & số liệu,Giải thích / làm rõ số liệu ADV thắc mắc,,
6,A2. Campaign / Event,Cập nhật trạng thái campaign cho ADV nắm,,
7,A2. Campaign / Event,Tạo / chỉnh campaign theo yêu cầu ADV,,
8,A2. Campaign / Event,Báo ADV tiến độ campaign đang chạy,,
9,A3. Content,Gửi ADV danh sách content đã/đang chạy,,
10,A3. Content,Chuyển yêu cầu ADV về content (duyệt lại/gỡ) thành thao tác,,
11,A3. Content,Báo ADV kết quả duyệt content,,
12,A4. Tài chính,Báo ADV budget còn lại / đã tiêu,,
13,A4. Tài chính,Gửi ADV bảng đối soát theo kỳ,,
14,A4. Tài chính,Giải trình / đối chiếu số liệu đối soát với ADV,,
15,A4. Tài chính,Báo ADV lịch / trạng thái thanh toán,,
16,A4. Tài chính,Xử lý thắc mắc / khiếu nại của ADV về tiền,,
17,A5. Influencer / Creator,Gửi ADV danh sách / hồ sơ influencer của campaign,,
18,A5. Influencer / Creator,Nhập hộ ADV danh sách influencer ADV muốn theo dõi,,
19,A5. Influencer / Creator,Báo ADV chất lượng / hiệu quả từng influencer,,
20,A6. Tài khoản / truy cập,Cấp / reset quyền truy cập admin cho người của ADV,,
21,A6. Tài khoản / truy cập,Hướng dẫn người của ADV dùng admin (giao diện khó),,
22,A7. Việc khác bạn hay làm hộ ADV,(bạn tự ghi),,
23,A7. Việc khác bạn hay làm hộ ADV,(bạn tự ghi),,
24,A7. Việc khác bạn hay làm hộ ADV,(bạn tự ghi),,
,,,,
,C. KỂ VỀ ADV CỦA BẠN,"Phần này quý nhất — không có đúng/sai, viết thoải mái, ngắn dài tuỳ bạn. Bỏ trống câu nào không có cũng được.",,
C1,C. Kể về ADV,ADV tự thao tác được trong hệ thống của họ hay phải qua Ops hết?,,
C2,C. Kể về ADV,ADV tự xem được hiệu quả campaign hay phải chờ bạn báo cáo?,,
C3,C. Kể về ADV,ADV có hay hỏi chức năng gì mà hệ thống chưa có không? Kể vài lần gần đây,,
C4,C. Kể về ADV,ADV hay than phiền / bức xúc điều gì nhất?,,
C5,C. Kể về ADV,Câu hỏi nào của ADV bạn phải trả lời đi trả lời lại nhiều nhất?,,
C6,C. Kể về ADV,Nếu ADV tự làm được 1 việc thôi thì bạn mong đó là việc gì?,,
C7,C. Kể về ADV,ADV có từng nói muốn có trang / dashboard riêng của họ không?,,
C8,C. Kể về ADV,Việc nào bạn thấy ADV lẽ ra nên tự làm nhưng đang phải nhờ bạn?,,
C9,C. Kể về ADV,Bất cứ điều gì khác bạn muốn nói về ADV / công việc của mình,,
,,,,
,B. VÀI CON SỐ (ƯỚC LƯỢNG THÔI),"Không cần chính xác — áng chừng là được. Không nhớ thì bỏ qua.",,
B1,B. Vài con số,Một tuần ADV nhờ bạn khoảng bao nhiêu lần?,,
B2,B. Vài con số,Mỗi tuần bạn tốn khoảng mấy giờ làm hộ ADV?,,
B3,B. Vài con số,Việc nào làm bạn mất thời gian / phiền nhất?,,
