Module,Feature Code,Feature Name,Source Evidence,VN Behavior,PH Action,Effort,Priority,Status,Notes
Auth,AUTH-01,Đăng ký creator,POST /users/register (public/router/user.go:21),"Form RegisterBody: Name + Email + City + Gender + Phone + Password + ConfirmPassword + Ref. Phone regex VN +84",Giữ form + đổi phone regex +63 + đổi text EN/Filipino,S,P0,Ready,
Auth,AUTH-02,Đăng nhập (phone + password),POST /users/login (public/router/user.go:22),Login bằng phone + password,Giữ nguyên + đổi phone format,S,P0,Ready,
Auth,AUTH-03,Login Google,POST /users/login-with-google (public/router/user.go:23),Google OAuth,Giữ nguyên (global),S,P0,Ready,
Auth,AUTH-04,Login TikTok,POST /users/login-with-tiktok (public/router/user.go:24),TikTok OAuth,Giữ nguyên (global),S,P0,Ready,
Auth,AUTH-05,Login Instagram,POST /users/login-with-instagram (public/router/user.go:25),IG OAuth login (route đã wire),Giữ nguyên hoặc bỏ tùy partner,S,P1,Pending,Cần partner confirm có dùng IG login không
Auth,AUTH-06,Login Facebook,POST /users/login-with-facebook (public/router/user.go:26),FB OAuth login (route đã wire),Giữ nguyên,S,P0,Ready,
Auth,AUTH-07,Logout,POST /users/logout (public/router/user.go:28),Logout flow,Giữ nguyên,S,P0,Ready,
Auth,AUTH-08,Device token (push notification),POST /users/device (public/router/user.go:27),Lưu device token cho push,Giữ nguyên,S,P0,Ready,
OTP,OTP-01,Request OTP đăng ký,POST /users/request-otp (public/router/user.go:20),OTP qua AccessTrade SMS - channel Zalo,Đổi sang SMS PH provider,M,P0,Blocked,§G1 SMS provider
OTP,OTP-02,Verify OTP đăng ký,POST /users/verify-otp (public/router/user.go:19),Verify code OTP,Giữ logic,S,P0,Ready,
OTP,OTP-03,Profile request OTP,POST /users/profile/request-otp (public/router/user.go:70),OTP cho update profile,Đổi sang SMS PH provider,S,P0,Blocked,§G1
OTP,OTP-04,Profile verify OTP,POST /users/profile/verify-otp (public/router/user.go:71),Verify OTP profile,Giữ logic,S,P0,Ready,
OTP,OTP-05,Update phone number (verify OTP),POST /users/update-phone-number (public/router/user.go:56),Đổi SĐT cần OTP,Giữ logic,S,P0,Ready,
Profile,PROFILE-01,Get me (profile info),GET /users/me (public/router/user.go:29),Trả thông tin user hiện tại,Giữ nguyên,S,P0,Ready,
Profile,PROFILE-02,Update profile,PUT /users/update (public/router/user.go:30),Update thông tin profile,Giữ nguyên + đổi text EN/Filipino,S,P0,Ready,
Profile,PROFILE-03,Complete profile,PUT /users/complete-profile (public/router/user.go:67),Hoàn thiện profile sau đăng ký,Giữ nguyên,S,P0,Ready,
Profile,PROFILE-04,Check unique (email/phone),GET /users/check-unique (public/router/user.go:68),Check trùng email/phone,Giữ nguyên,S,P0,Ready,
Profile,PROFILE-05,Dismiss profile popup,POST /users/dismiss-profile-popup (public/router/user.go:69),Tắt popup yêu cầu hoàn thiện profile,Giữ nguyên,S,P1,Ready,
Profile,PROFILE-06,FE page tài khoản,frontend-green pages/account/index.tsx (route /tai-khoan),Form update profile,Giữ nguyên + đổi text EN/Filipino,M,P0,Ready,
Profile,PROFILE-07,FE page trang cá nhân,frontend-green pages/profile/index.tsx (route /trang-ca-nhan),Trang public profile,Giữ nguyên,S,P0,Ready,
Identification,ID-01,Create identification,POST /users/identification (public/router/user.go:38),Upload thông tin định danh CCCD,Replace CCCD → multi-ID type PH,M,P0,Blocked,§F2 ID types
Identification,ID-02,Get my identification,GET /users/identification/me (public/router/user.go:39),Get identification của user hiện tại,Giữ nguyên,S,P0,Ready,
Identification,ID-03,Update identification,PUT /users/identification/:id (public/router/user.go:40),Update identification,Giữ nguyên,S,P0,Ready,
Identification,ID-04,Get image from ID card (OCR?),POST /users/identification/image (public/router/user.go:52),OCR ảnh ID card,Verify provider có hỗ trợ ID PH không,M,P1,Blocked,§F2 + §F3
