STT,Objective,Feature,Use case,Note,Deadline,Status,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Phase
,,,,,,,,,,,,,,,,
,CREATOR — VCreator Global Platform,,,,,,,,,,,,,,
,Tổng quan: Báo giá phát triển các tính năng phía Creator/KOC cho nền tảng VCreator Global. Kiến trúc Shared User Identity + Separate Country Profiles.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Authentication & Onboarding,[Creator] OAuth Login,"Đăng nhập bằng TikTok, Google (Phase 1). 1 hệ thống user chung — login 1 lần dùng cho tất cả countries.","- 1 bộ OAuth credentials chung (không tách per country)
- Login → tạo/access global user identity
- Tự động lấy tên + avatar từ OAuth provider
- Refactor từ code ambassabor hiện tại",D+25,,4,8,60,40,16,0,8,24,160,1
2,,[Creator] Facebook Login (Phase 2),Đăng nhập bằng Facebook OAuth. Feature flag bật/tắt per country.,"- Phase 2 — sau khi core stable
- Meta app review preparation
- Account linking nếu đã có TikTok/Google
- Feature flag per country",D+55,,2,4,24,16,8,0,4,8,66,2
3,,[Creator] Country Selection — First Time,Sau OAuth login lần đầu → chọn quốc gia → tạo country profile đầu tiên.,"- Hiện danh sách countries đang active
- Tạo country profile (KYC, bank, tax riêng)
- Chọn ngôn ngữ (local + EN)
- Redirect đến /{country_code}/
- Không bắt KYC ngay — cho browse campaigns",D+25,,0,4,24,24,8,4,4,8,76,1
4,,[Creator] Add Country Profile,Creator đã có profile VN → thêm profile cho Philippines mà không cần tạo tài khoản mới.,"- ""Thêm quốc gia"" từ settings hoặc country switcher
- Tạo country profile mới (KYC, bank, tax riêng)
- Shared: avatar, tên hiển thị, OAuth identity
- Separated: KYC, bank, earnings, campaigns, hashtags",D+30,,0,4,24,20,8,0,4,8,68,1
5,,[Creator] Country Switcher,Switch giữa các countries trong app. Toàn bộ data context chuyển theo country đang chọn.,"- Country switcher UI rõ ràng (header)
- Switch → campaigns, earnings, content scoped by country
- Language tự chuyển theo country (hoặc giữ manual)
- Remember last used country",D+30,,0,2,16,20,8,4,2,4,56,1
6,,[Creator] Language Switcher,"Chọn ngôn ngữ hiển thị (local language + English). Apply ngay, persist across sessions.","- Language picker trong header + onboarding
- 2 ngôn ngữ per country: Local + English
- Lưu preference (global hoặc per country)
- Toàn bộ UI labels, buttons, messages chuyển ngôn ngữ",D+30,,0,2,16,24,8,4,2,4,60,1
7,,[Creator] Currency Switcher,Chọn currency hiển thị (display currency) độc lập với ngôn ngữ. Mặc định = local currency. Thanh toán vẫn bằng local currency.,"- Currency picker trong Settings + onboarding (optional)
- Mặc định: local currency (VN=VND, PH=PHP)
- Supported: local currency, USD (danh sách mở rộng được)
- Khi chọn USD: earnings hiển thị $890 (₱50,000) thay vì ₱50,000 (≈$890)
- Thanh toán (payout) LUÔN bằng local currency — không thay đổi
- Preference lưu riêng, độc lập với language preference
- Convert dùng realtime reference rate + label rõ ràng
- Apply cho: Earnings Dashboard, Campaign Reward, Balance, Withdrawal preview",D+35,,0,2,8,20,4,4,2,4,44,1
,,,,,,,,,,,,,,,,
9,Landing & Awareness,[Creator] Landing Page,Trang giới thiệu platform đa ngôn ngữ. Country selector cho guest. Hiển thị số liệu uy tín.,"- Content đa ngôn ngữ (local + EN)
- Country selector (guest) → redirect /{cc}/
- Logged-in: vào country mặc định + switcher
- Số liệu: số creator, số brand, tổng payout
- Testimonial từ creator cùng quốc gia",D+30,,0,2,16,32,8,8,4,8,78,1
9,,[Creator] Public Campaign Preview,Xem danh sách campaign đang chạy mà không cần đăng nhập.,"- Public campaign listing (limited info)
- Hiển thị: brand, reward range, deadline
- CTA: ""Đăng ký để tham gia""
- Scoped by country từ URL",D+30,,0,0,8,16,4,0,2,4,34,1
10,,[Creator] Referral Link,Referral link tự chuyển đến đúng quốc gia và ghi nhận người giới thiệu.,"- Format: /{cc}/ref/{code}
- Auto-select country từ URL
- Lưu referral code cho attribution
- Unique per creator per country",D+25,,0,2,16,8,4,0,2,4,36,1
,,,,,,,,,,,,,,,,
