folder_fe,app_name,partner_api,event_gan_nhat_endAt,active,total,status,ghi_chu
frontend,KOC Ambassador (chung),ACCESSTRADE,2026-12-31,12,15,Dang chay,FE chung - Creator For Viet Nam con active
creatorvn,KOC Ammbassador,ACCESSTRADE (bien the),2026-12-31,12,15,Dang chay,Dung chung pool ACCESSTRADE
vpbank,VPBank Prime+,VPbank,2026-11-23,13,13,Dang chay,GO VIRAL moi mo 19/05 keo den 09/2026
turborg,Tuborg Creators,Tuborg,2026-07-31,2,2,Dang chay,2 event dai han den 31/07
hdbank,HDBank Creator,HDBank,2026-04-15,8,10,Vua het (T4),Event cuoi FIFA WC end 15/04
lusso,Lusso Saigon Ambassador,MEGALIVE - LUSSO ON AIR,2026-05-06,2,3,Vua het (T5),Livestream/Video LUSSO end 06/05
vng,VNGGames Creators,VNGGames,2025-11-25,40,40,Cu,Event cuoi end 11/2025 - khong co T4-T5/2026
wildrift,WILD Creators,(khong co tren API),,,,Khong co event,Co the VNGGames Wild Rift - chua tao campaign
tpbank,TPBANK - Creator,TPBank,2025-12-31,5,6,Cu,Cac chien dich TAM DUNG end cuoi 12/2025
mbbank,MB Studio,MB studio,2025-12-04,13,16,Cu,Phan lon da dung - khong co T4-T5/2026
anker,Anker Innovations,Anker Innovations,2026-01-18,2,3,Cu,Event cuoi end 01/2026
flamingo,Flamingo Creators,Flamingo,2025-12-29,1,1,Cu,End 12/2025
vnpay,VNPAY,VNPAY Taxi,2024-12-08,1,2,Cu,End 12/2024
yody,YODY,Yody,2024-12-31,0,14,Ngung,Toan bo 14 event inactive end <= 2024
creator-vietnam,(khong ro),ACCESSTRADE?,,,,Can xac nhan,Khong co config APP_NAME ro rang
