Phase,Task ID,Task,File / Module,Description,Source Evidence,Effort,Priority,Status,Blockers,PIC,Notes,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),AT Cost ($),DISO Cost ($)
1. Setup,SETUP-D01,Setup môi trường develop local,docker-compose.yml + Makefile + README,"Docker compose cho dev local:
• MongoDB + Redis + MinIO
• Backend + Frontend + Admin
Makefile commands: build/run/test/seed.
README hướng dẫn dev setup.",—,M,P0,Ready,,DISO,"Dev local lần đầu setup ~1 ngày, sau dev chỉ run docker compose up",4,0,4,2,0,0,0,1,11,,178
1. Setup,SETUP-D02,Setup CI/CD pipeline (GitHub Actions),.github/workflows/,"Setup full CI/CD pipeline GitHub Actions:

CI workflow (ci.yml):
• Trigger: PR/push
• Build Go backend + FE/admin
• Run unit test + lint (golangci-lint + eslint)
• Cache deps để speed up

CD staging (deploy-staging.yml):
• Trigger: merge vào branch develop (auto)
• Build Docker image + push registry
• SSH deploy server staging + health check

CD production (deploy-production.yml):
• Trigger: workflow_dispatch (manual)
• Build + push + SSH deploy
• Health check + rollback option
• Approval required",—,M,P0,Blocked,SETUP-02 staging + production servers,DISO,Gom CI + CD staging + CD production,11,0,4,1,3,0,0,1,20,,315
1. Setup,SETUP-D03,Setup .env.example + linter + pre-commit hooks,.env.example + .pre-commit-config.yaml + .golangci.yml + .eslintrc,"Tạo dev environment config + code quality tooling:

.env.example:
• Tất cả env vars cần thiết (Region, MongoDB, Redis, MinIO, Firebase, OAuth, SMS, etc)
• Comments giải thích cho dev mới

Pre-commit hooks:
• golangci-lint
• eslint + prettier
• gitleaks (no secrets)
Auto-format trước commit.",—,S,P0,Ready,,DISO,Code quality + dev onboarding,2,0,3,2,0,0,0,0,7,,109
2. Foundation Config,FOUND-01,Add Region config + utility functions + ENV setup PH,internal/config/env.go + format/phone.go + util/ptime/region.go + format/search.go + .env,"Add foundation config + utilities cho region-aware + setup ENV PH:

ENV config (env.go):
• Region struct với COUNTRY_CODE, PHONE_CODE, PHONE_REGEX, TIMEZONE, CURRENCY, TAX_PERCENT, LANGUAGE
• IPCountryCodePH + LangFil constants
• Load từ ENV

Phone util (format/phone.go):
• FormatPhoneRegion + PhoneNumberFormatRegion config-driven
• Remove FormatPhoneCommon legacy (REPL-01 sẽ thay callsite)

Timezone util (util/ptime/region.go):
• GetRegionLocation, TimeOfDayInRegion, TimeStartOfDayInRegion, TimeEndOfDayInRegion
• Refactor 15 HCM functions trong util/time.go → Region functions

Search util (format/search.go):
• Rename NonAccentVietnamese → NormalizeSearchString (REPL-03 thay callsite)

ENV file PH (.env):
• REGION_COUNTRY_CODE=PH
• REGION_PHONE_CODE=+63
• REGION_PHONE_REGEX (PH mobile pattern)
• REGION_TIMEZONE=Asia/Manila
• REGION_CURRENCY=PHP
• REGION_TAX_PERCENT=0
• REGION_LANGUAGE=fil

Smoke test cơ bản utils (không test extensive — đã verify qua REPL callsites).",audit-09,M,P0,Ready,,DISO,Foundation: build infra đọc ENV + tạo .env values PH. Block REPL-01..04,1,2,18,1,4,0,1,3,30,,451
9. Payout Offline Mode,PAYOUT-01,Ẩn toàn bộ UI + routes payment/bank/withdraw/tax/KYC/FB-IG login/OTP SMS,Frontend creator + Admin + Backend routers,"Coi như source chưa có payment + OTP SMS — ẩn thẳng tay (không config flag):

Frontend Creator (hide menu + button + routes):
• Withdraw button trong cashflow page
• Bank account form (page /bank)
• Tax declaration page (/khai-bao-thue / tax)
• KYC Identification upload page
• Facebook login button + route /login-with-facebook
• Instagram login button + route /login-with-instagram
• Update label ""Số dư có thể rút"" → ""Hoa hồng đã tích lũy""

Frontend Admin (hide menu):
• Transfer/Payout menu
• Identification Review menu

Backend (comment-out routes):
• /users/bank-cards/* (4 routes)
• /users/identification/* (3 routes) + /users/ekyc/*
• /users/login-with-facebook
• /users/login-with-instagram
• /users/request-otp + /users/verify-otp (OTP SMS — không còn use case sau khi bỏ contract)
• Skip UpdateCashFlowTax cron entirely (line 756 schedule.go)",§48 + audit,M,P0,Ready,,DISO,"Đơn giản hóa - không config flag, hide thẳng",0,1,9,12,4,0,1,1,28,,407
9. Payout Offline Mode,PAYOUT-02,Verify Commission Export flow cho offline payout,admin/service/export_transfer_user_cash.go (đã có sẵn),"Source đã có export_transfer_user_cash.go.
Verify export hoạt động cho offline payout flow:
• Admin chạy reconciliation đợt
• Approve commission
• Export CSV/Excel
• Khách import vào payroll system",§48 + audit,S,P0,Ready,,DISO,Reuse export có sẵn,0,0,2,0,2,0,0,0,4,,52
3. Replace hardcode (Backend),REPL-01,Replace +84 hardcode toàn codebase,internal/format/string.go + model/mg/user.go + service/otp.go + public/services + admin/service/user.go,"Replace toàn bộ ""+84"" hardcode (12 chỗ) → cfg.Region.PhoneCode:
• format/string.go:31, 70-71, 77 (PhoneNumberFormatFromPhone)
• model/mg/user.go:152 (search string)
• service/otp.go:108 (OTP send)
• public/service/user.go:113, 616 (contract)
• public/service/identification.go:83
• public/service/schedule.go:413
• admin/service/user.go:184",audit-09 §1 + audit-user,S,P0,Ready,FOUND-04,DISO,Search-replace pattern + verify pass test,0,0,3,0,2,0,0,0,5,,67
3. Replace hardcode (Backend),REPL-02,Replace HCM timezone toàn codebase,internal/util/time.go + util/ptime/parse.go + handlers + services (BE + admin),"Replace toàn bộ TimeOfDayInHCM/TimeStartOfDayInHCM/Asia/Ho_Chi_Minh (91 occurrences across 25+ files) → Region timezone functions:
• Refactor util/time.go (15 HCM functions → Region functions)
• Refactor util/ptime/parse.go
• Update tất cả callsite trong public services (schedule, user, withdraw, identification)
• Update tất cả callsite trong admin services (transfer, reconciliation, content, event, exports, migration, user, schedule)
• Update handlers (admin/handler/event.go)
• Remove constants timezoneHCM",audit-09 §2 + audit-02 + audit-07 + audit-08,L,P0,Ready,FOUND-03,DISO,91 occurrences — task lớn nhất nhóm REPL,0,2,24,0,8,0,0,2,36,,522
3. Replace hardcode (Backend),REPL-03,Replace Vietnamese accent functions toàn codebase,internal/format/string.go + admin services + admin models,"Replace NonAccentVietnamese + RemoveAccentVietnamese (38 occurrences) → NormalizeSearchString:
• admin/service/reconciliation.go (3 chỗ)
• admin/service/transfer.go (2 chỗ)
• admin/service/event.go (slug generators - 2 chỗ)
• admin/service/partner.go (slug - 2 chỗ)
• admin/service/export.go (filename - 2 chỗ)
• admin/service/common.go (bank search)
• admin/model/request/* (5 files: notification, article, news, segment, tag)
• admin/server/initialize/dummy_db.go (3 chỗ)",audit-08 + audit-07,S,P0,Ready,FOUND-05,DISO,Search-replace pattern + verify search/sort vẫn work,0,0,4,0,2,0,0,0,6,,82
3. Replace hardcode (Backend),REPL-04,Replace constants + slug VN-specific,internal/constants/constants.go + internal/format/string.go,"Cleanup VN-specific constants + functions:
• Move RegexPhoneNumber (line 40) → config-driven (đọc từ ENV)
• Remove constant timezoneHCM (line 72)
• Remove PercentTaxIndonesia + PercentTaxVietNam (line 226-227) → config-driven
• Remove ConvertSlugProvince + ConvertSlugProvinceFind (ho-chi-minh ⇄ tp-ho-chi-minh logic)",audit-09 §1 + §4,S,P0,Ready,FOUND-01,DISO,Foundation constants cleanup,0,0,3,0,1,0,0,0,4,,56
