STT,Objective,Feature,Use case,Note,ADR Reference,Deadline,Status,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours),Phase
,,,,,,,,,,,,,,,,
,PLATFORM CORE — VCreator Global,,,,,,,,,,,,,,,,
,Tổng quan: Báo giá phát triển Platform Core (Multi-Tenancy + i18n + Currency + Tax + Infra). Đây là nền tảng shared cho tất cả personas (Creator + Admin + Global Admin). Chi tiết kiến trúc xem ADR: adr-platform-core.md,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,MULTI-TENANCY CORE,,,,ADR-001,,,,,,,,,,,,
1,Multi-Tenancy,[System] Country Config Service,"Country configuration: currency, language, tax rules, KYC requirements, payment config, OAuth providers, social platforms, feature flags.","- CRUD API cho country config (Global Admin only)
- Per country: code, name, currency, languages[], tax_rules, kyc_requirements, payment_config, social_platforms[]
- Cache Redis (invalidation on update)
- Feature flags per country (ADR-005)
- Audit log cho mọi config change
- Seed data cho VN + PH",ADR-001 + ADR-005,D+10,,4,8,40,0,8,0,4,8,72,1
2,,[System] Country Context Middleware,"Middleware tự động extract country_code → inject vào query context → enforce data isolation.","- Extract country_code từ: URL path (/ph/...) hoặc JWT claim
- Validate: country_code trong danh sách active countries
- Inject country_code vào request context
- Tất cả DB queries auto-append country_code filter
- Local Admin: chỉ data nước mình
- Creator: chỉ data country profile đang active
- Global Admin: cross-country hoặc filter specific
- Zero data leak giữa countries (critical)",ADR-001,D+10,,0,8,40,0,12,0,4,8,72,1
3,,[System] URL Country Routing,"URL format /{country_code}/... Country code 2 ký tự. Country selector landing page.","- URL: /ph/campaign/123, /vn/campaign/456
- Country selector page tại root /
- Redirect đúng country path sau chọn
- Validation: chỉ accept configured countries
- 404 cho invalid codes
- Backward compatible: /vn/ cho existing VN URLs",ADR-001,D+10,,0,4,16,16,8,0,2,4,50,1
4,,[System] Dual-Dimension Tenancy,"Mở rộng partner tenancy hiện tại thành country + partner.","- Hiện tại: { partner_code: ""techcombank"" }
- Mới: { country_code: ""ph"", partner_code: ""brand_x"" }
- Compound indexes: { country_code, partner_code, ... }
- Queries filter cả 2 dimensions",ADR-001,D+15,,0,8,32,0,8,0,4,8,60,1
,,,,,,,,,,,,,,,,
,USER IDENTITY,,,,ADR-002,,,,,,,,,,,,
5,User Identity,[System] Shared User Identity Model,"Refactor user model: tách User Identity (shared) vs Country Profile (per country).","- users collection: oauth, display_name, avatar, language_pref, active_country, country_profiles[]
- country_profiles collection: user_id, country_code, kyc_status, kyc_data, bank, tax_id, contract, referral_code
- User vào lại từ đầu trên Global Platform (không migrate data VN cũ)
- Index: { user_id, country_code } unique",ADR-002,D+15,,0,8,48,0,12,0,4,8,80,1
6,,[System] Country Profile CRUD,"API tạo/đọc/cập nhật country profile. Cho phép user thêm country mới.","- POST /api/user/country-profile (tạo profile mới)
- GET /api/user/country-profile/:cc (đọc profile)
- PUT /api/user/country-profile/:cc (cập nhật)
- Validation: country phải active, user chưa có profile country này
- Sensitive fields encrypted (KYC, bank)",ADR-002,D+20,,0,4,24,0,8,0,2,4,42,1
7,,[System] Country Context Switching,"API + logic switch active country cho user. Refresh scoped data.","- PUT /api/user/active-country (switch country)
- Update active_country trong user identity
- Frontend: refresh campaigns, earnings, content theo country mới
- Last used country = default khi login lại",ADR-002,D+20,,0,4,16,16,8,0,2,4,50,1
,,,,,,,,,,,,,,,,
,INTERNATIONALIZATION (i18n),,,,ADR-003,,,,,,,,,,,,
