Phase,Task ID,Task,File / Module,Description,Effort,Priority,Status,Blockers,DevOps,SA,BE,FE Creator,FE Admin,QC,Design,BA,PM,Total (hours),Notes
1. Setup,SETUP-01,Tạo repo + cấu trúc monorepo,N/A,"Khởi tạo repo crm-at + setup monorepo (backend, admin, creator-fe, event-fe)",S,P0,Ready,,4,2,2,1,1,0,0,0,2,12,
1. Setup,SETUP-02,Setup AWS infrastructure cho AT,Infra,"Provision EC2/ECS, VPC, security groups cho môi trường dev/staging/prod",M,P0,Ready,,16,2,0,0,0,1,0,0,2,21,
1. Setup,SETUP-03,Setup MongoDB cluster (multi-tenant ready),Infra,"MongoDB Atlas hoặc self-hosted, schema design hỗ trợ multi-tenant từ đầu",M,P0,Ready,,8,2,2,0,0,1,0,0,1,14,Tenant key trong mọi collection
1. Setup,SETUP-04,Setup Redis cho cache + queue,Infra,"Redis cho session, cache, BullMQ/Asynq queue",S,P0,Ready,,4,1,1,0,0,0,0,0,0,6,
1. Setup,SETUP-05,Setup MinIO/S3 storage,Infra,"Buckets cho avatar, content media, contract PDF, export file",S,P0,Ready,,3,0,1,0,0,0,0,0,0,4,
1. Setup,SETUP-06,Setup domain + DNS + SSL,Infra,"vcreator.demo.accesstrade.click + production domains, Cloudflare DNS + SSL",S,P0,Ready,,4,0,0,0,0,0,0,0,1,5,
1. Setup,SETUP-07,Setup AWS SES email service,Infra,"SES verify domain + DKIM + SPF + bounce handling",S,P0,Ready,,3,0,1,0,0,0,0,0,0,4,
1. Setup,SETUP-08,Setup CI/CD pipeline,.github/workflows/ + Dockerfile,"Build + test + deploy auto cho 3 môi trường",M,P0,Ready,,8,1,2,1,1,1,0,0,1,15,
1. Setup,SETUP-09,Setup ENV + secret management,backend/.env + AWS Secrets Manager,"Env file template + secret rotation strategy",S,P0,Ready,,3,1,2,1,1,0,0,0,1,9,
1. Setup,SETUP-10,Setup monitoring + logging,Datadog/Grafana + CloudWatch,"APM, error tracking (Sentry), log aggregation",M,P0,Ready,,12,1,2,0,0,1,0,0,1,17,
2. Foundation,FOUND-01,Multi-tenant data model + middleware,backend/internal/middleware/tenant,"Tenant context injection, row-level isolation, tenant resolver từ subdomain/header",L,P0,Ready,,0,4,24,0,0,4,0,2,2,36,M13 - critical foundation
2. Foundation,FOUND-02,Auth + RBAC core,backend/internal/module/auth,"Login (email/SSO), JWT, role + permission matrix per tenant",L,P0,Ready,,0,2,24,4,4,4,0,1,2,41,
2. Foundation,FOUND-03,User + role management admin UI,admin/src/pages/users,"CRUD users, assign roles per tenant, audit log",M,P0,Ready,,0,1,8,0,16,2,1,1,1,30,
2. Foundation,FOUND-04,Tenant onboarding flow,admin/src/pages/tenants,"Tạo tenant mới (TCB, VinFast...), config branding, contact, SLA defaults",M,P0,Ready,,0,2,12,0,16,2,2,2,2,38,
2. Foundation,FOUND-05,Audit log infrastructure,backend/internal/module/audit,"Log mọi action quan trọng, tenant-scoped, query API",M,P0,Ready,,0,1,16,0,4,2,0,1,1,25,
3. Phase 0 - Event,EVENT-01,Landing page Creator For Vietnam,event-fe/src/app/landing,"Hero, value prop, agenda, speakers, integration với 12 campaigns marquee",M,P0,Ready,§D1 design final,0,1,4,16,0,2,16,1,1,41,
3. Phase 0 - Event,EVENT-02,Form đăng ký 3 bước,event-fe/src/app/register,"Step 1 thông tin cá nhân, Step 2 social handles, Step 3 confirm + consent",M,P0,Ready,,0,1,8,16,0,3,4,1,1,34,
3. Phase 0 - Event,EVENT-03,Submit handler + creator record creation,backend/internal/module/event,"Receive form, validate, dedupe handle, lưu creator + event_registration",M,P0,Ready,,0,1,12,2,0,2,0,1,1,19,
3. Phase 0 - Event,EVENT-04,Tier scoring sync (event variant),backend/internal/service/scoring,"Quick score sau đăng ký để hiển thị Wow page (Bronze/Silver/Gold/Diamond predict)",M,P0,Ready,§D2 score formula,0,2,16,2,0,2,0,2,1,25,
3. Phase 0 - Event,EVENT-05,Welcome / Wow page,event-fe/src/app/welcome,"Hiển thị tier predicted + animation + CTA share + matched campaigns",M,P0,Ready,,0,0,4,16,0,3,8,1,1,33,
3. Phase 0 - Event,EVENT-06,Profile card sharable,event-fe/src/app/welcome/[handle],"Trang public profile card có OG image, share Facebook/Zalo, scroll multiple",M,P0,Ready,,0,0,8,16,0,2,8,1,1,36,
3. Phase 0 - Event,EVENT-07,Add channel UX (header floating),event-fe/src/components,"Nút thêm kênh sau khi đăng ký, popup form, append vào profile",S,P0,Ready,,0,0,4,8,0,2,2,0,0,16,
3. Phase 0 - Event,EVENT-08,Email confirmation event,backend/internal/module/smtp/templates,"Email confirm đăng ký + reminder 1 ngày trước event",S,P0,Ready,,0,0,4,0,0,1,2,1,0,8,
3. Phase 0 - Event,EVENT-09,Dashboard event registration (admin),admin/src/pages/events,"Danh sách đăng ký, filter, export CSV, gửi reminder",M,P0,Ready,,0,0,8,0,16,2,1,1,1,29,
3. Phase 0 - Event,EVENT-10,Campaign integration (read-only từ ambassador),backend/internal/module/campaign + event-fe,"Sync 12 campaign từ ambassador.koc.com.vn, hiển thị marquee + matched",M,P0,Ready,,0,1,8,8,0,2,2,1,1,23,
4. Phase 1A - M1 Identity,M1-01,Creator master data model,backend/internal/model/creator,"Schema creator, channels, contacts, tags, tenant-scoped",M,P0,Ready,,0,2,16,0,0,2,0,2,1,23,
4. Phase 1A - M1 Identity,M1-02,Multi-channel handle dedup logic,backend/internal/service/creator/dedup,"Phát hiện cùng creator với nhiều handle, merge UI hỗ trợ",M,P0,Ready,,0,1,16,0,4,3,0,1,1,26,
4. Phase 1A - M1 Identity,M1-03,Creator List page (admin),admin/src/pages/creators,"Table, filter (tier/owner/source/status), search, bulk actions",L,P0,Ready,§D3 mockup,0,1,8,0,32,4,2,1,2,50,
4. Phase 1A - M1 Identity,M1-04,Trang chi tiết creator,admin/src/pages/creators/[id],"Profile tab, channels tab, history tab, conversations tab, owner timeline",L,P0,Ready,§D3 mockup,0,1,12,0,40,4,3,1,2,63,
4. Phase 1A - M1 Identity,M1-05,Manual + bulk import creators,admin/src/pages/creators/import,"CSV/Excel import, validation, preview, dedupe handling",M,P0,Ready,,0,0,12,0,12,2,1,1,1,29,
4. Phase 1A - M2 Lifecycle,M2-01,Lifecycle state machine,backend/internal/service/lifecycle,"7 trạng thái V2 (Lead → Activated → Engaged → ...), transition rules, guards",L,P0,Ready,§B1 V2 process final,0,3,32,0,0,4,0,3,2,44,Core engine
4. Phase 1A - M2 Lifecycle,M2-02,Auto-transition rules engine,backend/internal/service/lifecycle/rules,"Rule-based: GMV threshold, idle days, content count → auto move stage",M,P0,Ready,,0,2,16,0,0,2,0,2,1,23,
4. Phase 1A - M2 Lifecycle,M2-03,Lifecycle UI (stage badge + history),admin/src/components/lifecycle,"Badge hiển thị, drawer history transitions, manual override với reason",M,P0,Ready,,0,0,8,0,16,2,1,1,1,29,
4. Phase 1A - M2 Lifecycle,M2-04,Stage entry/exit hooks,backend/internal/service/lifecycle/hooks,"Trigger notification, task creation, scoring re-eval khi đổi stage",M,P0,Ready,,0,1,12,0,0,2,0,1,1,17,
4. Phase 1A - M5 Owner,M5-01,Owner assignment model,backend/internal/model/assignment,"Schema owner-creator mapping, ownership history, capacity per owner",S,P0,Ready,,0,1,8,0,0,1,0,1,1,12,
4. Phase 1A - M5 Owner,M5-02,Auto round-robin assignment,backend/internal/service/assignment/auto,"Round-robin theo industry/region/capacity, fallback rules",M,P0,Ready,,0,1,12,0,0,2,0,1,1,17,
4. Phase 1A - M5 Owner,M5-03,Workload dashboard,admin/src/pages/workload,"Per-owner: count by tier, in-progress tasks, overdue, capacity bar",M,P0,Ready,§D4 mockup,0,0,4,0,16,2,2,1,1,26,
4. Phase 1A - M5 Owner,M5-04,Manual reassign + bulk reassign,admin/src/pages/creators (action),"UI reassign 1 hoặc nhiều creator, log lý do",S,P0,Ready,,0,0,4,0,8,1,0,0,1,14,
