Cụm,Mô tả cụm,Module,Mô tả chi tiết,Trạng thái,BE (h),FE (h),QA (h),PM (h),BA (h),SA (h),DevOps (h),Tổng giờ,Tổng tiền (USD)
A,"Mở 3 trục cấu hình trên engine đã có (KHÔNG viết lại engine).
Xong 3 trục này, cơ chế 'video duyệt/tháng' và 'mốc hiệu suất' chỉ còn là bản ghi cấu hình.
Mọi hằng số business đều config được — business đổi số không cần deploy.",periodKey — chốt chặn của cả dự án,"- Thêm field periodKey ('2026-07') vào event-rewards
- Đổi guard idempotency từ '1 lần trọn đời' → '1 lần / chu kỳ'
- MỘT field này mở khoá cả 'thưởng hàng tháng' lẫn 'BXH hàng tháng'
- Migration: backfill periodKey cho reward cũ
- Kèm UNIQUE INDEX (user, schema._id, periodKey, contentId, isBudgetExceeded) — khoá chống trả thưởng 2 lần ở tầng DB
- Script dò + gộp dữ liệu trùng đang có trên prod trước khi tạo index
- Test: tháng 7 nhận thưởng → tháng 8 nhận lại được; 2 goroutine song song → chỉ 1 reward",🟡 Build mới,16,0,8,2,2,5,2,35,550
,,Trục WINDOW (lifetime / fixed / recurring),"- RewardWindow: type + period (monthly/weekly) + timezone Asia/Ho_Chi_Minh
- Cron chốt sổ tháng: ngày 1 tháng sau 02:00 (hấp thụ độ trễ crawl 12h)
- Backward-compatible: schema cũ mặc định window=fixed, chạy y nguyên
- Test: đổi tháng → counter reset, không thưởng trùng",🟡 Build mới,16,0,8,2,3,4,0,33,508
,,Trục PAYOUT — bậc thang (tiered),"- RewardTier[]: min/max/cash/label — thay cho 1 mốc cứng hiện tại
- Áp cho by-content-milestone (số video/tháng) + by-view-milestone (mốc hiệu suất)
- Bậc thang KHÔNG cộng dồn: 12 video → nhận bậc 500k, không phải 200k+500k (giả định A4)
- Test: 4/5/12/25 video → đúng bậc; ranh giới min/max",🟡 Build mới,16,0,8,2,3,3,0,32,488
,,Platform Capability Matrix,"- Khai báo mỗi platform có view/like/comment/share hay không
- CHẶN admin bật PPV cho platform mù view (Threads hiện KHÔNG trả view → creator sẽ nhận 0đ)
- Rule khai báo metric ưu tiên + fallbackMetric
- Test: chọn Threads + cashPerView → UI cảnh báo, chặn Active",🟡 Build mới,8,6,4,1,2,2,0,23,350
,,Admin UI: cấu hình window + bậc thang,"- Form chọn chu kỳ (lifetime/cố định/hàng tháng)
- Bảng bậc thang thêm/xoá dòng (min, max, tiền, nhãn)
- Cảnh báo capability khi chọn source
- Preview: 'creator duyệt 12 video sẽ nhận 500.000đ'",🟡 Build mới,4,20,6,2,3,0,0,35,512
,,Cấu hình PPV (đã có engine — chỉ config),"- by-statistic + cashPerView ĐÃ CÓ 100%, không code mới
- Cấu hình rule + đóng cửa platform mù view
- Ghi rõ trên UI creator: cập nhật 2 lần/ngày, KHÔNG realtime
- Test: view tăng → tiền tăng đúng đơn giá; content bị hủy → thu hồi",🟢 Đã có,2,2,4,1,2,0,0,11,154
B,"Thưởng ngoài campaign (theo yêu cầu: creator onboard hệ thống, không thuộc campaign nào).
Hiện TOÀN BỘ model thưởng bắt buộc gắn campaign → thưởng ngoài campaign không có đường ghi sổ.
Nới event thành optional + thêm quỹ partner. Đối soát/chi tiền tái dùng nguyên luồng cũ.",Nới scope: event → optional,"- Thêm RewardScope (event | partner), rà TOÀN BỘ guard 'if event.ID.IsZero() return'
- Rà lại mọi aggregation ngân sách + báo cáo đang giả định event luôn tồn tại
- Đây là phần rủi ro nhất: đụng vào đường tiền đang chạy cho 14 tenant
- Test hồi quy: 14 tenant, reward cũ không đổi hành vi",🟡 Build mới,20,0,8,2,2,6,0,38,600
,,Quỹ thưởng partner (BppReward) + budget lock,"- Bpp đã tồn tại nhưng CHƯA dùng trong engine (chỉ validate tổng Bpe)
- Định nghĩa BppReward = quỹ thưởng ngoài campaign
- Budget lock key budget_partner_<id> song song budget_event_<id>
- Bắt buộc set, không cho 0=unlimited
- Test: cạn quỹ → không vượt chi, cảnh báo Telegram",🟡 Build mới,16,0,6,2,2,4,0,30,472
,,Thưởng N video đầu (business nói '3'),"- firstN.n cấu hình được — business đổi sang 5 thì sửa 1 field, không deploy
- cashEach (thưởng từng video) + cashBonus (thưởng thêm khi đủ N) — giả định A1
- 'Đầu tiên' tính theo phạm vi partner, không phải campaign — giả định A2
- minView chống spam + cooldown 1h giữa 2 video được tính
- Video bị hủy → video kế tiếp lên thế chỗ
- Test: 7 kịch bản acceptance trong PRD",🟡 Build mới,20,0,10,2,3,3,0,38,576
,,Đối soát + chi tiền cho thưởng ngoài campaign,"- Reward scope=partner đi vào CÙNG luồng reconciliation (chỉ khác event=null)
- Không phải xây lại đối soát/transfer/withdraw — đây là lý do chọn phương án này
- Rà pipeline đối soát đang hardcode type + event
- Test: đối soát → cash-flow → ví creator → rút tiền",🟡 Build mới,12,0,6,2,2,3,0,25,388
